Indicator name,non_null_values
"School age population, secondary education, female (number)",270
"School age population, last grade of primary education, female (number)",216
"Repeaters in Grade 5 of lower secondary general education, female (number)",205
"Repeaters in grade unknown of lower secondary general education, both sexes (number)",203
"School age population, upper secondary education, both sexes (number)",186
"School life expectancy, primary, female (years)",172
"School age population, primary education, both sexes (number)",162
"School age population, lower secondary education, both sexes (number)",162
"School age population, tertiary education, male (number)",162
"Population of compulsory school age, both sexes (number)",157
"School age population, pre-primary education, both sexes (number)",153
Share of all students in secondary education enrolled in general programmes (%),151
"Repetition rate in Grade 1 of primary education, both sexes (%)",138
"Repetition rate in primary education (all grades), both sexes (%)",131
Official entrance age to compulsory education (years),129
"Repeaters in primary education, all grades, male (number)",116
"Enrolment in early childhood educational development programmes, female (number)",110
"School age population, pre-primary education, male (number)",108
"School age population, lower secondary education, male (number)",108
"School age population, secondary education, male (number)",108
"School age population, upper secondary education, female (number)",108
"School age population, one year before than official primary entry age, female (number)",108
Start of the academic school year (pre-primary to post-secondary non tertiary education),108
End of the academic school year (pre-primary to post-secondary non tertiary education),108
Theoretical duration of primary education (years),108
"Repetition rate in Grade 5 of lower secondary general education, male (%)",106
"Population of the official entrance age to primary education, both sexes (number)",105
"Gross enrolment ratio for tertiary education, both sexes (%)",103
"School life expectancy, tertiary, female (years)",102
"Repetition rate in Grade 5 of lower secondary general education, both sexes (%)",98
"Enrolment in primary education, both sexes (number)",98
"Gross enrolment ratio for tertiary education, female (%)",97
"School age population, last grade of primary education, both sexes (number)",97
"Repeaters in Grade 1 of lower secondary general education, both sexes (number)",96
"Gross enrolment ratio, primary, both sexes (%)",96
"School life expectancy, primary to tertiary, female (years)",94
"Repeaters in lower secondary general education, all grades, female (number)",90
"Repeaters in Grade 5 of primary education, both sexes (number)",89
"Gross intake ratio to the last grade of lower secondary general education, female (%)",87
"Completion rate, primary education, both sexes (%)",86
Number of years of free primary and secondary education guaranteed in legal frameworks,85
"Repeaters in primary education, all grades, both sexes (number)",84
Expenditure on education as a percentage of total government expenditure (%),84
"Repetition rate in Grade 4 of primary education, female (%)",84
"Repetition rate in Grade 4 of lower secondary general education, male (%)",83
Theoretical duration of post-secondary non-tertiary education (years),82
"Repetition rate in Grade 1 of lower secondary general education, female (%)",81
"Teachers in pre-primary education, both sexes (number)",79
"Repeaters in Grade 3 of lower secondary general education, both sexes (number)",79
"Enrolment in early childhood education, male (number)",77
"Out-of-school children of primary school age, both sexes (number)",76
"Repetition rate in Grade 3 of lower secondary general education, male (%)",76
"Enrolment in tertiary education, all programmes, female (number)",76
"Repeaters in Grade 7 of primary education, both sexes (number)",75
"Out-of-school rate for children one year younger than official primary entry age, male (%)",74
"Repeaters in lower secondary general education, all grades, male (number)",72
"Repetition rate in Grade 3 of lower secondary general education, both sexes (%)",69
"Completion rate, lower secondary education, male (%)",68
"Completion rate, primary education, adjusted gender parity index (GPIA)",68
"Completion rate, upper secondary education, male (%)",67
"Enrolment in lower secondary education, male (number)",67
"Out-of-school rate for youth of upper secondary school age, adjusted gender parity index (GPIA)",66
Share of all students in secondary education enrolled in vocational programmes (%),65
"Gross enrolment ratio, primary and lower secondary, male (%)",64
"Gross intake ratio to the last grade of lower secondary general education, male (%)",64
Percentage of enrolment in primary education in private institutions (%),64
"Out-of-school rate for children of primary school age, adjusted gender parity index (GPIA)",63
"Government expenditure on pre-primary education, US$ (millions)",63
"Out-of-school rate for children and adolescents of primary and lower secondary school age, adjusted gender parity index (GPIA)",62
"Out-of-school rate for children and adolescents of primary and lower secondary school age, both sexes (%)",60
"Out-of-school children of primary school age, female (number)",59
"Caribbean and Central America: Students from Bahamas, both sexes (number)",59
"Teachers in tertiary education programmes, both sexes (number)",59
"Enrolment in tertiary education, all programmes, male (number)",58
"Asia: Students from Azerbaijan, both sexes (number)",58
"Teachers in primary education, female (number)",58
"Total net enrolment rate, primary, female (%)",58
"Total net enrolment rate, lower secondary, male (%)",58
"Survival rate to Grade 4 of primary education, male (%)",58
Percentage of teachers in primary education who are female (%),57
"Gross enrolment ratio for tertiary education, male (%)",57
"Repeaters in Grade 7 of primary education, male (number)",56
"Asia: Students from Saudi Arabia, both sexes (number)",56
"Caribbean and Central America: Students from Aruba, both sexes (number)",56
"Gross enrolment ratio, primary and secondary, male (%)",56
"Repeaters in Grade 1 of primary education, both sexes (number)",55
"School age population, pre-primary education, female (number)",54
"School age population, primary education, male (number)",54
"Population of the official entrance age to secondary general education, both sexes (number)",54
"School age population, tertiary education, both sexes (number)",54
"Population of the official entrance age to secondary general education, male (number)",54
"Population of the official entrance age to primary education, male (number)",54
Theoretical duration of secondary education (years),54
Theoretical duration of pre-primary education (years),54
Theoretical duration of upper secondary education (years),54
"Population of the official entrance age to primary education, female (number)",54
Official entrance age to primary education (years),54
"School life expectancy, secondary, female (years)",54
"Repeaters in Grade 5 of lower secondary general education, both sexes (number)",54
"Repetition rate in Grade 4 of primary education, male (%)",54
Official entrance age to pre-primary education (years),54
"School age population, upper secondary education, male (number)",54
Official entrance age to lower secondary education (years),54
"Repeaters in Grade 6 of lower secondary general education, both sexes (number)",54
"Repetition rate in Grade 5 of lower secondary general education, female (%)",53
Official entrance age to post-secondary non-tertiary education (years),53
"Oceania: Students from Papua New Guinea, both sexes (number)",53
"School age population, early childhood education, both sexes (number)",52
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, female (%)",52
"Population of compulsory school age, female (number)",52
"Enrolment in primary education, female (number)",52
"Government expenditure on education not specified by level, constant US$ (millions)",52
"Repeaters in Grade 4 of lower secondary general education, female (number)",52
"Asia: Students from the Republic of Korea, both sexes (number)",51
"Repeaters in Grade 6 of primary education, male (number)",51
Theoretical duration of early childhood educational development (years),51
Percentage of enrolment in early childhood education programmes in private institutions (%),51
"Caribbean and Central America: Students from Dominican Republic, both sexes (number)",50
"Survival rate to Grade 4 of primary education, both sexes (%)",49
"Repeaters in Grade 4 of primary education, both sexes (number)",49
"Enrolment in post-secondary non-tertiary education, male (number)",48
"Gross enrolment ratio for tertiary education, adjusted gender parity index (GPIA)",48
"Government expenditure on tertiary education, constant PPP$ (millions)",48
"Government expenditure on primary education, PPP$ (millions)",48
"Africa: Students from Burundi, both sexes (number)",48
"Repeaters in Grade 5 of primary education, female (number)",48
"Asia: Students from Malaysia, both sexes (number)",47
"Enrolment in secondary education, both sexes (number)",47
"Repeaters in grade unknown of lower secondary general education, male (number)",47
"Africa: Students from Tunisia, both sexes (number)",47
"Gross enrolment ratio, primary and secondary, both sexes (%)",46
"Caribbean and Central America: Students from Saint Vincent and the Grenadines, both sexes (number)",45
"Repetition rate in Grade 4 of primary education, both sexes (%)",45
"Out-of-school children of primary school age, male (number)",45
"Caribbean and Central America: Students from Guatemala, both sexes (number)",45
"Africa: Students from the Central African Republic, both sexes (number)",45
"Europe: Students from unknown countries, both sexes (number)",45
"Asia: Students from Singapore, both sexes (number)",45
"Repeaters in grade unknown of primary education, male (number)",44
Initial government funding per pre-primary student as a percentage of GDP per capita,44
"Youth literacy rate, population 15-24 years, female (%)",44
"School life expectancy, secondary, both sexes (years)",44
"Teachers in post-secondary non-tertiary education, male (number)",43
"Repeaters in Grade 6 of lower secondary general education, male (number)",43
"School life expectancy, primary and lower secondary, female (years)",43
"Repetition rate in Grade 7 of primary education, male (%)",43
"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",42
"Youth literacy rate, population 15-24 years, both sexes (%)",42
"Enrolment in pre-primary education, both sexes (number)",42
"Outbound mobility ratio to East Asia and the Pacific, both sexes (%)",42
"Caribbean and Central America: Students from Dominica, both sexes (number)",42
"Percentage of graduates from tertiary education graduating from Information and Communication Technologies programmes, both sexes (%)",41
"Out-of-school rate for youth of upper secondary school age, female (%)",40
Government expenditure on education as a percentage of GDP (%),40
"North America: Students from unknown countries, both sexes (number)",40
Capital expenditure as a percentage of total expenditure in pre-primary public institutions (%),40
"Asia: Students from Bangladesh, both sexes (number)",39
"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",39
"Gross enrolment ratio, upper secondary, female (%)",39
"Gross enrolment ratio, upper secondary, both sexes (%)",39
"Total net enrolment rate, lower secondary, female (%)",39
"Adjusted net enrolment rate, one year before the official primary entry age, male (%)",39
"Repetition rate in Grade 1 of lower secondary general education, both sexes (%)",39
"Oceania: Students from Fiji, both sexes (number)",38
"Gross intake ratio to the last grade of primary education, male (%)",38
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",38
"Enrolment in post-secondary non-tertiary education, both sexes (number)",38
"Total net enrolment rate, upper secondary, both sexes (%)",38
"Inbound internationally mobile students from sub-Saharan Africa, both sexes (number)",38
Current expenditure other than staff compensation as a percentage of total expenditure in secondary public institutions (%),37
"School life expectancy, pre-primary, male (years)",37
"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, both sexes (%)",37
"Total net enrolment rate, upper secondary, male (%)",37
Percentage of enrolment in early childhood educational development programmes in private institutions (%),37
"Repetition rate in Grade 3 of lower secondary general education, female (%)",37
Government expenditure on primary education as a percentage of GDP (%),36
"Out-of-school rate for children of primary school age, female (%)",36
"Completion rate, upper secondary education, adjusted location parity index (LPIA)",36
Number of years of free pre-primary education guaranteed in legal frameworks,36
"Caribbean and Central America: Students from the Turks and Caicos Islands, both sexes (number)",36
All staff compensation as a percentage of total expenditure in tertiary public institutions (%),36
Percentage of teachers in lower secondary education who are female (%),36
