Indicator name,non_null_values,countries_covered,years_covered
"School age population, secondary education, female (number)",270,5,54
"School age population, last grade of primary education, female (number)",216,4,54
"Repeaters in Grade 5 of lower secondary general education, female (number)",205,4,54
"Repeaters in grade unknown of lower secondary general education, both sexes (number)",203,4,53
"School age population, upper secondary education, both sexes (number)",186,4,54
"School life expectancy, primary, female (years)",172,4,51
"School age population, primary education, both sexes (number)",162,3,54
"School age population, lower secondary education, both sexes (number)",162,3,54
"School age population, tertiary education, male (number)",162,3,54
"Population of compulsory school age, both sexes (number)",157,6,27
"School age population, pre-primary education, both sexes (number)",153,4,54
Share of all students in secondary education enrolled in general programmes (%),151,3,53
"Repetition rate in Grade 1 of primary education, both sexes (%)",138,5,52
"Repetition rate in primary education (all grades), both sexes (%)",131,5,51
Official entrance age to compulsory education (years),129,5,26
"Repeaters in primary education, all grades, male (number)",116,4,45
"Enrolment in early childhood educational development programmes, female (number)",110,7,25
Theoretical duration of primary education (years),108,2,54
"School age population, one year before than official primary entry age, female (number)",108,2,54
"School age population, pre-primary education, male (number)",108,2,54
"School age population, upper secondary education, female (number)",108,2,54
Start of the academic school year (pre-primary to post-secondary non tertiary education),108,2,54
"School age population, lower secondary education, male (number)",108,2,54
End of the academic school year (pre-primary to post-secondary non tertiary education),108,4,27
"School age population, secondary education, male (number)",108,2,54
"Repetition rate in Grade 5 of lower secondary general education, male (%)",106,2,54
"Population of the official entrance age to primary education, both sexes (number)",105,2,54
"Gross enrolment ratio for tertiary education, both sexes (%)",103,3,52
"School life expectancy, tertiary, female (years)",102,3,52
"Enrolment in primary education, both sexes (number)",98,2,53
"Repetition rate in Grade 5 of lower secondary general education, both sexes (%)",98,2,54
"Gross enrolment ratio for tertiary education, female (%)",97,2,51
"School age population, last grade of primary education, both sexes (number)",97,2,54
"Repeaters in Grade 1 of lower secondary general education, both sexes (number)",96,3,52
"Gross enrolment ratio, primary, both sexes (%)",96,2,52
"School life expectancy, primary to tertiary, female (years)",94,2,52
"Repeaters in lower secondary general education, all grades, female (number)",90,3,49
"Repeaters in Grade 5 of primary education, both sexes (number)",89,3,50
"Gross intake ratio to the last grade of lower secondary general education, female (%)",87,2,50
"Completion rate, primary education, both sexes (%)",86,3,34
Number of years of free primary and secondary education guaranteed in legal frameworks,85,4,26
"Repetition rate in Grade 4 of primary education, female (%)",84,2,51
Expenditure on education as a percentage of total government expenditure (%),84,3,40
"Repeaters in primary education, all grades, both sexes (number)",84,4,50
"Repetition rate in Grade 4 of lower secondary general education, male (%)",83,2,51
Theoretical duration of post-secondary non-tertiary education (years),82,3,28
"Repetition rate in Grade 1 of lower secondary general education, female (%)",81,3,45
"Repeaters in Grade 3 of lower secondary general education, both sexes (number)",79,2,54
"Teachers in pre-primary education, both sexes (number)",79,2,45
"Enrolment in early childhood education, male (number)",77,4,25
"Repetition rate in Grade 3 of lower secondary general education, male (%)",76,4,45
"Out-of-school children of primary school age, both sexes (number)",76,3,46
"Enrolment in tertiary education, all programmes, female (number)",76,3,49
"Repeaters in Grade 7 of primary education, both sexes (number)",75,3,30
"Out-of-school rate for children one year younger than official primary entry age, male (%)",74,5,24
