economy,Country name,Indicator name,UNIT_MEASURE,UNIT_TYPE,Year,Value
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1970,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1970,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1970,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1970,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1970,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1970,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1970,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1970,0.0
BTN,Bhutan,"School age population, secondary education, female (number)",,,1970,14255.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1970,13435.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1970,353197.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1970,35063.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1970,73796.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1970,311249.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1970,39320632.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1970,2731.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1970,2215336.0
FIN,Finland,"School age population, secondary education, female (number)",,,1970,250165.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1970,6728877.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1970,46158.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1970,7472.0
LBY,Libya,"School age population, secondary education, female (number)",,,1970,96230.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1970,246575.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1970,371722.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1970,158028.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1970,27667.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1970,471713.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1970,46111.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1970,911578.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1971,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1971,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1971,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1971,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1971,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1971,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1971,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1971,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1971,4.019569873809814
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1971,6.466229915618896
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1971,2.687639951705933
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1971,4.57390022277832
BTN,Bhutan,"School age population, secondary education, female (number)",,,1971,14752.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1971,13561.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1971,356159.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1971,36066.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1971,76500.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1971,319926.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1971,38382448.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1971,2835.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1971,2276018.0
FIN,Finland,"School age population, secondary education, female (number)",,,1971,246006.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1971,6908494.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1971,47135.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1971,7736.0
LBY,Libya,"School age population, secondary education, female (number)",,,1971,99527.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1971,242276.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1971,369623.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1971,161671.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1971,27938.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1971,480135.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1971,47188.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1971,940734.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1972,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1972,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1972,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1972,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1972,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1972,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1972,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1972,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1972,3.927390098571777
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1972,6.450389862060547
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1972,2.674200057983398
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1972,4.915040016174316
BTN,Bhutan,"School age population, secondary education, female (number)",,,1972,15270.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1972,13699.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1972,358007.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1972,38190.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1972,79367.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1972,329312.0
