INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025,YR2026,YR2027,YR2028,YR2029,Region,Income_group,Lending_Category
HD.HCI.AMRT,Survival Rate from Age 15-60,_T,_T,_T,_Z,HD.HCI.AMRT,NUMBER,NUMBER,Survival Rate from Age 15-60,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
HD.HCI.AMRT.FE,Survival Rate from Age 15-60,F,_T,_T,_Z,HD.HCI.AMRT,NUMBER,NUMBER,Survival Rate from Age 15-60,CIV,Cote d'Ivoire,"Survival Rate from Age 15-60, Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6107591390609741,NA,NA,NA,NA,NA,NA,0.6355999708175659,0.670785665512085,NA,0.6790183186531067,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
HD.HCI.AMRT.MA,Survival Rate from Age 15-60,M,_T,_T,_Z,HD.HCI.AMRT,NUMBER,NUMBER,Survival Rate from Age 15-60,MRT,Mauritania,"Survival Rate from Age 15-60, Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7652000188827515,NA,NA,NA,NA,NA,NA,0.7764999866485596,0.7799999713897705,NA,0.7832820415496826,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa,Lower middle income,IDA
HD.HCI.EYRS.FE,Expected Years of School,F,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,IND,India,"Expected Years of School, Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.27000045776367,10.93618392944336,NA,11.2134313583374,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asia,Lower middle income,IBRD
HD.HCI.EYRS.FE,Expected Years of School,F,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,JPN,Japan,"Expected Years of School, Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asia & Pacific,High income,
HD.HCI.EYRS.FE,Expected Years of School,F,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,URY,Uruguay,"Expected Years of School, Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.32662296295166,NA,NA,NA,NA,NA,NA,NA,12.47761631011963,NA,12.51128673553467,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin America & Caribbean,High income,IBRD
HD.HCI.EYRS.MA,Expected Years of School,M,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,COK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
HD.HCI.EYRS.MA,Expected Years of School,M,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,GMB,"Gambia, The","Expected Years of School, Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94329833984375,NA,NA,NA,NA,NA,NA,NA,8.554849624633789,NA,9.206991195678713,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa,Low income,IDA
HD.HCI.EYRS.MA,Expected Years of School,M,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,MMR,Myanmar,"Expected Years of School, Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33421802520752,NA,NA,NA,NA,NA,NA,9.729999542236328,9.815420150756836,NA,9.938448905944824,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asia & Pacific,Lower middle income,IDA
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ASM,American Samoa,Harmonized Test Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asia & Pacific,High income,
