INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025,YR2026,YR2027,YR2028,YR2029,Country_name_std
SE.CLO.15Y.LDGAP.R.PS.2018.5,"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Fifth Quintile",_T,_T,_T,WB_EDSTATS_Q5,SE.CLO.15Y.LDGAP.R.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for reading,XKX,Kosovo,"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Fifth Quintile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0026907238643616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.15Y.LDGAP.S.PS.2018.R,"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Rural",_T,RUR,_T,_Z,SE.CLO.15Y.LDGAP.S.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for science,XKX,Kosovo,"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021766216959804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.15Y.LDSEV.R.PS.2000.4,"Learning Deprivation Severity;PISA for grade 15Y using MPL Level 2 for reading, Fourth Quintile",_T,_T,_T,WB_EDSTATS_Q4,SE.CLO.15Y.LDSEV.R.PS,NUMBER,NUMBER,Learning Deprivation Severity;PISA for grade 15Y using MPL Level 2 for reading,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.15Y.LDSEV.S.PS.2000.1,Learning Deprivation Severity;PISA for grade 15Y using MPL Level 2 for science,_T,_T,_T,WB_EDSTATS_Q1,SE.CLO.15Y.LDSEV.S.PS,NUMBER,NUMBER,Learning Deprivation Severity;PISA for grade 15Y using MPL Level 2 for science,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.3.LDGAP.R.PRL.2016.R,"Learning Deprivation Gap;PIRLS 2016 for grade 3 using MPL Low (400 points) for reading, Rural",_T,RUR,_T,_Z,SE.CLO.3.LDGAP.R.PRL,NUMBER,NUMBER,Learning Deprivation Gap;PIRLS for grade 3 using MPL Low (400 points) for reading,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.4.LDGAP.M.TMS.2011.R,"Learning Deprivation Gap;TIMSS for grade 4 using MPL Low (400 points) for math, Rural",_T,RUR,_T,_Z,SE.CLO.4.LDGAP.M.TMS,NUMBER,NUMBER,Learning Deprivation Gap;TIMSS for grade 4 using MPL Low (400 points) for math,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.4.LDSEV.S.TMS.2011.4,"Learning Deprivation Severity;TIMSS for grade 4 using MPL Low (400 points) for science, Fourth Quintile",_T,_T,_T,WB_EDSTATS_Q4,SE.CLO.4.LDSEV.S.TMS,NUMBER,NUMBER,Learning Deprivation Severity;TIMSS for grade 4 using MPL Low (400 points) for science,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.4.PRF.M.TMS.2003.F,Above Proficiency;TIMSS for grade 4 using MPL Low (400 points) for math,F,_T,_T,_Z,SE.CLO.4.PRF.M.TMS,SHARE,NUMBER,Above Proficiency;TIMSS for grade 4 using MPL Low (400 points) for math,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.4.PRF.M.TMS.2019.U,"Above Proficiency;TIMSS 2019 for grade 4 using MPL Low (400 points) for math, Urban",_T,URB,_T,_Z,SE.CLO.4.PRF.M.TMS,SHARE,NUMBER,Above Proficiency;TIMSS for grade 4 using MPL Low (400 points) for math,XKX,Kosovo,"Above Proficiency;TIMSS 2019 for grade 4 using MPL Low (400 points) for math, Urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7330490946769714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.4.PRF.S.TMS.2015.3,"Above Proficiency;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Third Quintile",_T,_T,_T,WB_EDSTATS_Q3,SE.CLO.4.PRF.S.TMS,SHARE,NUMBER,Above Proficiency;TIMSS for grade 4 using MPL Low (400 points) for science,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.5.LDGAP.S.TMS.2019.5,"Learning Deprivation Gap;TIMSS 2019 for grade 5 using MPL Low (400 points) for science, Fifth Quintile",_T,_T,_T,WB_EDSTATS_Q5,SE.CLO.5.LDGAP.S.TMS,NUMBER,NUMBER,Learning Deprivation Gap;TIMSS for grade 5 using MPL Low (400 points) for science,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.5.LDSEV.R.PRL.2006.3,"Learning Deprivation Severity;PIRLS 2006 for grade 5 using MPL Low (400 points) for reading, Third Quintile",_T,_T,_T,WB_EDSTATS_Q3,SE.CLO.5.LDSEV.R.PRL,NUMBER,NUMBER,Learning Deprivation Severity;PIRLS for grade 5 using MPL Low (400 points) for reading,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
