Year,NonNA_Count
1970,153
1971,224
1972,221
1973,218
1974,218
1975,222
1976,225
1977,223
1978,233
1979,217
1980,236
1981,250
1982,235
1983,232
1984,234
1985,236
1986,245
1987,240
1988,243
1989,247
1990,257
1991,283
1992,270
1993,279
1994,288
1995,286
1996,274
1997,276
1998,438
1999,667
2000,785
2001,775
2002,725
2003,831
2004,851
2005,856
2006,1098
2007,926
2008,904
2009,983
2010,1018
2011,1152
2012,1105
2013,1019
2014,1168
2015,1188
2016,1173
2017,1089
2018,1214
2019,1124
2020,846
2021,775
2022,563
2023,180
