Year,NonNA_Count
YR1960,272
YR1961,272
YR1962,0
YR1963,0
YR1964,0
YR1965,0
YR1966,0
YR1967,0
YR1968,0
YR1969,0
YR1970,22483
YR1971,32445
YR1972,32014
YR1973,31939
YR1974,32139
YR1975,32664
YR1976,33979
YR1977,33555
YR1978,33557
YR1979,33700
YR1980,35249
YR1981,36032
YR1982,34806
YR1983,35094
YR1984,35440
YR1985,35027
YR1986,36160
YR1987,35126
YR1988,34845
YR1989,35141
YR1990,37519
YR1991,39520
YR1992,38487
YR1993,38990
YR1994,40896
YR1995,41377
YR1996,40761
YR1997,40510
YR1998,64186
YR1999,95614
YR2000,113275
YR2001,111819
YR2002,107901
YR2003,119597
YR2004,120862
YR2005,126585
YR2006,157814
YR2007,135201
YR2008,130758
YR2009,142145
YR2010,147825
YR2011,167030
YR2012,160051
YR2013,151254
YR2014,171631
YR2015,173411
YR2016,170869
YR2017,159667
YR2018,177678
YR2019,160161
YR2020,120673
YR2021,110682
YR2022,77135
YR2023,25406
YR2024,8
YR2025,0
