INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
HD.HCI.AMRT.FE,Survival Rate from Age 15-60,F,_T,_T,_Z,HD.HCI.AMRT,NUMBER,NUMBER,Survival Rate from Age 15-60,CIV,Cote d'Ivoire,"Survival Rate from Age 15-60, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6107591390609741,,,,,,,0.6355999708175659,0.670785665512085,,0.6790183186531067,,,
HD.HCI.AMRT.MA,Survival Rate from Age 15-60,M,_T,_T,_Z,HD.HCI.AMRT,NUMBER,NUMBER,Survival Rate from Age 15-60,MRT,Mauritania,"Survival Rate from Age 15-60, Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7652000188827515,,,,,,,0.7764999866485596,0.7799999713897705,,0.7832820415496826,,,
HD.HCI.EYRS.FE,Expected Years of School,F,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,IND,India,"Expected Years of School, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27000045776367,10.93618392944336,,11.2134313583374,,,
HD.HCI.EYRS.FE,Expected Years of School,F,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,URY,Uruguay,"Expected Years of School, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32662296295166,,,,,,,,12.47761631011963,,12.51128673553467,,,
HD.HCI.EYRS.MA,Expected Years of School,M,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,GMB,"Gambia, The","Expected Years of School, Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94329833984375,,,,,,,,8.554849624633789,,9.206991195678713,,,
HD.HCI.EYRS.MA,Expected Years of School,M,_T,_T,_Z,HD.HCI.EYRS,NUMBER,NUMBER,Expected Years of School,MMR,Myanmar,"Expected Years of School, Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33421802520752,,,,,,,9.729999542236328,9.815420150756836,,9.938448905944824,,,
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,DNK,Denmark,Harmonized Test Scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.0125732421875,,,,,,,531.0,530.727783203125,,517.8778076171875,,,
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,DZA,Algeria,Harmonized Test Scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.4057006835938,,,,,,,374.0,374.0890808105469,,374.0890808105469,,,
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GEO,Georgia,Harmonized Test Scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0966796875,,,,,,,445.0,444.8043823242188,,399.7662963867188,,,
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PHL,Philippines,Harmonized Test Scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.0,408.9212646484375,,361.64599609375,,,
