INDICATOR,Indicator name,name
HD.HCI.AMRT,Survival Rate from Age 15-60,Survival Rate from Age 15-60
HD.HCI.AMRT.FE,"Survival Rate from Age 15-60, Female",Survival Rate from Age 15-60
HD.HCI.AMRT.MA,"Survival Rate from Age 15-60, Male",Survival Rate from Age 15-60
HD.HCI.EYRS,Expected Years of School,Expected Years of School
HD.HCI.EYRS.FE,"Expected Years of School, Female",Expected Years of School
HD.HCI.EYRS.MA,"Expected Years of School, Male",Expected Years of School
HD.HCI.HLOS,Harmonized Test Scores,Harmonized Test Scores
HD.HCI.HLOS.FE,"Harmonized Test Scores, Female",Harmonized Test Scores
HD.HCI.HLOS.MA,"Harmonized Test Scores, Male",Harmonized Test Scores
HD.HCI.LAYS,Learning-Adjusted Years of School,Learning-Adjusted Years of School
HD.HCI.LAYS.FE,"Learning-Adjusted Years of School, Female",Learning-Adjusted Years of School
HD.HCI.LAYS.MA,"Learning-Adjusted Years of School, Male",Learning-Adjusted Years of School
HD.HCI.MORT,Probability of Survival to Age 5,Probability of Survival to Age 5
HD.HCI.MORT.FE,"Probability of Survival to Age 5, Female",Probability of Survival to Age 5
HD.HCI.MORT.MA,"Probability of Survival to Age 5, Male",Probability of Survival to Age 5
HD.HCI.OVRL,Human Capital Index (HCI) (scale 0-1),Human Capital Index (HCI) (scale 0-1)
HD.HCI.OVRL.FE,"Human Capital Index (HCI), Female (scale 0-1)",Human Capital Index (HCI) (scale 0-1)
HD.HCI.OVRL.LB,"Human Capital Index (HCI), Lower Bound (scale 0-1)","Human Capital Index (HCI), Lower Bound (scale 0-1)"
HD.HCI.OVRL.LB.FE,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","Human Capital Index (HCI), Lower Bound (scale 0-1)"
HD.HCI.OVRL.LB.MA,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","Human Capital Index (HCI), Lower Bound (scale 0-1)"
HD.HCI.OVRL.MA,"Human Capital Index (HCI), Male (scale 0-1)",Human Capital Index (HCI) (scale 0-1)
HD.HCI.OVRL.UB,"Human Capital Index (HCI), Upper Bound (scale 0-1)","Human Capital Index (HCI), Upper Bound (scale 0-1)"
