INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value
UIS.X.PPP.02.FSGOV,"Government expenditure on pre-primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.02.FSGOV,PP_CUR,NUMBER,"Government expenditure on pre-primary education, PPP$ (millions)",ABW,Aruba,"Government expenditure on pre-primary education, PPP$ (millions)",Latin America & Caribbean,High income,,true,2016,12.3201904296875
UIS.X.PPPCONST.1.FSGOV,"Government expenditure on primary education, constant PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPPCONST.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, constant PPP$ (millions)",ABW,Aruba,"Government expenditure on primary education, constant PPP$ (millions)",Latin America & Caribbean,High income,,true,2016,64.79408264160156
UIS.X.US.3.FSGOV,"Government expenditure on upper secondary education, US$ (millions)",_T,_T,_T,_Z,UIS.X.US.3.FSGOV,USD,NUMBER,"Government expenditure on upper secondary education, US$ (millions)",ABW,Aruba,"Government expenditure on upper secondary education, US$ (millions)",Latin America & Caribbean,High income,,true,2002,14.22968006134033
UIS.X.USCONST.02.FSGOV,"Government expenditure on pre-primary education, constant US$ (millions)",_T,_T,_T,_Z,UIS.X.USCONST.02.FSGOV,USD,NUMBER,"Government expenditure on pre-primary education, constant US$ (millions)",ABW,Aruba,"Government expenditure on pre-primary education, constant US$ (millions)",Latin America & Caribbean,High income,,true,2016,9.167440414428713
UIS.XGDP.3.FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),_T,_T,_T,_Z,UIS.XGDP.3.FSGOV,SHARE,NUMBER,Government expenditure on upper secondary education as a percentage of GDP (%),ABW,Aruba,Government expenditure on upper secondary education as a percentage of GDP (%),Latin America & Caribbean,High income,,true,2002,0.7252600193023682
UIS.XSPENDP.0.FDPUB.FNNONS,Current expenditure other than staff compensation as % of total expenditure in pre-primary public institutions (%),_T,_T,_T,_Z,UIS.XSPENDP.0.FDPUB.FNNONS,SHARE,NUMBER,Current expenditure other than staff compensation as % of total expenditure in pre-primary public institutions (%),ABW,Aruba,Current expenditure other than staff compensation as a percentage of total expenditure in pre-primary public institutions (%),Latin America & Caribbean,High income,,true,2016,5.149590015411377
UIS.XUNIT.GDPCAP.23.FSGOV,Initial government funding per secondary student as a percentage of GDP per capita,_T,_T,_T,_Z,UIS.XUNIT.GDPCAP.23.FSGOV,SHARE,NUMBER,Initial government funding per secondary student as a percentage of GDP per capita,ABW,Aruba,Initial government funding per secondary student as a percentage of GDP per capita,Latin America & Caribbean,High income,,true,2012,24.2150993347168
UIS.XGDP.1.FSGOV,Government expenditure on primary education as % of GDP (%),_T,_T,_T,_Z,UIS.XGDP.1.FSGOV,SHARE,NUMBER,Government expenditure on primary education as % of GDP (%),AFG,Afghanistan,Government expenditure on primary education as a percentage of GDP (%),"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2017,1.919280052185059
UIS.XSPENDP.02.FDPUB.FNTS,Teaching staff compensation as a percentage of total expenditure in pre-primary public institutions (%),_T,_T,_T,_Z,UIS.XSPENDP.02.FDPUB.FNTS,SHARE,NUMBER,Teaching staff compensation as a percentage of total expenditure in pre-primary public institutions (%),AFG,Afghanistan,Teaching staff compensation as a percentage of total expenditure in pre-primary public institutions (%),"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2017,0.0
UIS.XSPENDP.3.FDPUB.FNCUR,Current expenditure as % of total expenditure in upper-secondary public institutions (%),_T,_T,_T,_Z,UIS.XSPENDP.3.FDPUB.FNCUR,SHARE,NUMBER,Current expenditure as % of total expenditure in upper-secondary public institutions (%),AFG,Afghanistan,Current expenditure as a percentage of total expenditure in upper-secondary public institutions (%),"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2017,89.56881713867188
UIS.XSPENDP.3.FDPUB.FNNONS,Current expenditure other than staff compensation as % of total expenditure in upper secondary public institutions (%),_T,_T,_T,_Z,UIS.XSPENDP.3.FDPUB.FNNONS,SHARE,NUMBER,Current expenditure other than staff compensation as % of total expenditure in upper secondary public institutions (%),AFG,Afghanistan,Current expenditure other than staff compensation as a percentage of total expenditure in upper secondary public institutions (%),"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2017,7.377150058746338
UIS.XSPENDP.FDPUB.FNCAP,Capital expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,UIS.XSPENDP.FDPUB.FNCAP,SHARE,NUMBER,Capital expenditure as % of total expenditure in public institutions (%),AFG,Afghanistan,Capital expenditure as a percentage of total expenditure in public institutions (%),"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2015,19.59267044067383
UIS.XUNIT.PPPCONST.1.FSGOV,"Initial government funding per primary student, constant PPP$",_T,_T,_T,_Z,UIS.XUNIT.PPPCONST.1.FSGOV,USD_CONST,NUMBER,"Initial government funding per primary student, constant PPP$",AFG,Afghanistan,"Initial government funding per primary student, constant PPP$","Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2017,249.1628875732422
UIS.X.PPP.3.FSGOV,"Government expenditure on upper secondary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.3.FSGOV,PP_CUR,NUMBER,"Government expenditure on upper secondary education, PPP$ (millions)",AGO,Angola,"Government expenditure on upper secondary education, PPP$ (millions)",Sub-Saharan Africa,Lower middle income,IBRD,true,2005,635.0808715820312
UIS.X.USCONST.1.FSGOV,"Government expenditure on primary education, constant US$ (millions)",_T,_T,_T,_Z,UIS.X.USCONST.1.FSGOV,USD,NUMBER,"Government expenditure on primary education, constant US$ (millions)",AGO,Angola,"Government expenditure on primary education, constant US$ (millions)",Sub-Saharan Africa,Lower middle income,IBRD,true,2006,310.8918151855469
