INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,AFG,Afghanistan,"Learning-Adjusted Years of School, Female","Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2020,3.87448787689209
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AGO,Angola,"Harmonized Test Scores, Female",Sub-Saharan Africa,Lower middle income,IBRD,true,2020,324.9247131347656
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ARM,Armenia,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,442.9694519042969
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,BGD,Bangladesh,"Learning-Adjusted Years of School, Male",South Asia,Lower middle income,IDA,true,2020,5.755270957946777
UIS.SF.C.26548,,,,,,,,,,BHR,Bahrain,"Asia: Students from Malaysia, both sexes (number)","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2022,1.0
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,CHE,Switzerland,"Learning-Adjusted Years of School, Male",Europe & Central Asia,High income,,true,2020,10.89166450500488
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,COD,"Congo, Dem. Rep.","Harmonized Test Scores, Female",Sub-Saharan Africa,Low income,IDA,true,2020,308.4146118164063
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,COG,"Congo, Rep.","Harmonized Test Scores, Female",Sub-Saharan Africa,Lower middle income,Blend,true,2020,369.4405822753906
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CRI,Costa Rica,"Harmonized Test Scores, Female",Latin America & Caribbean,High income,IBRD,true,2020,426.2440185546875
UIS.SF.C.26548,,,,,,,,,,CYP,Cyprus,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,High income,,true,2021,2.0
UIS.SF.C.26548,,,,,,,,,,GBR,United Kingdom,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,High income,,true,2022,12106.0
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,GEO,Georgia,Learning-Adjusted Years of School,Europe & Central Asia,Upper middle income,IBRD,true,2020,8.273991584777832
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GIN,Guinea,"Harmonized Test Scores, Female",Sub-Saharan Africa,Lower middle income,IDA,true,2020,397.3538818359375
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HKG,"Hong Kong SAR, China",Harmonized Test Scores,East Asia & Pacific,High income,,true,2020,548.6314086914062
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,HND,Honduras,"Learning-Adjusted Years of School, Male",Latin America & Caribbean,Lower middle income,IDA,true,2020,6.004199981689453
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HRV,Croatia,Harmonized Test Scores,Europe & Central Asia,High income,IBRD,true,2020,487.5812377929688
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,HRV,Croatia,"Learning-Adjusted Years of School, Male",Europe & Central Asia,High income,IBRD,true,2020,10.22708034515381
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,ISL,Iceland,Learning-Adjusted Years of School,Europe & Central Asia,High income,,true,2020,10.71831130981445
UIS.SF.C.26548,,,,,,,,,,ISR,Israel,"Asia: Students from Malaysia, both sexes (number)","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2014,0.0
UIS.SF.C.26548,,,,,,,,,,ITA,Italy,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,High income,,true,2021,34.0
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,JPN,Japan,Harmonized Test Scores,East Asia & Pacific,High income,,true,2020,537.7234497070312
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,KEN,Kenya,Learning-Adjusted Years of School,Sub-Saharan Africa,Lower middle income,Blend,true,2020,8.469239234924316
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KGZ,Kyrgyz Republic,"Harmonized Test Scores, Female",Europe & Central Asia,Lower middle income,IDA,true,2020,426.2162170410156
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KHM,Cambodia,Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,451.8895874023438
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LBR,Liberia,"Harmonized Test Scores, Female",Sub-Saharan Africa,Low income,IDA,true,2020,327.6463623046875
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LKA,Sri Lanka,Harmonized Test Scores,South Asia,Lower middle income,IDA,true,2020,400.0
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,LVA,Latvia,Learning-Adjusted Years of School,Europe & Central Asia,High income,,true,2020,10.97880077362061
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MDA,Moldova,"Harmonized Test Scores, Male",Europe & Central Asia,Upper middle income,IBRD,true,2020,429.9052734375
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MDG,Madagascar,"Learning-Adjusted Years of School, Male",Sub-Saharan Africa,Low income,IDA,true,2020,4.583313941955566
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MEX,Mexico,"Harmonized Test Scores, Male",Latin America & Caribbean,Upper middle income,IBRD,true,2020,431.9877014160156
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MHL,Marshall Islands,"Learning-Adjusted Years of School, Female",East Asia & Pacific,Upper middle income,IDA,true,2020,5.977338790893555
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MKD,North Macedonia,"Learning-Adjusted Years of School, Female",Europe & Central Asia,Upper middle income,IBRD,true,2020,7.512912750244141
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MRT,Mauritania,"Harmonized Test Scores, Male",Sub-Saharan Africa,Lower middle income,IDA,true,2020,340.4776916503906
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MRT,Mauritania,Learning-Adjusted Years of School,Sub-Saharan Africa,Lower middle income,IDA,true,2020,4.231436729431152
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NAM,Namibia,"Learning-Adjusted Years of School, Female",Sub-Saharan Africa,Lower middle income,IBRD,true,2010,5.52032995223999
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NER,Niger,"Harmonized Test Scores, Female",Sub-Saharan Africa,Low income,IDA,true,2020,302.0892944335938
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NER,Niger,"Learning-Adjusted Years of School, Female",Sub-Saharan Africa,Low income,IDA,true,2020,2.438436508178711
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NIC,Nicaragua,"Harmonized Test Scores, Female",Latin America & Caribbean,Lower middle income,IDA,true,2020,392.0843811035156
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NIC,Nicaragua,"Learning-Adjusted Years of School, Female",Latin America & Caribbean,Lower middle income,IDA,true,2020,6.964001655578613
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NLD,Netherlands,"Harmonized Test Scores, Female",Europe & Central Asia,High income,,true,2020,525.6600341796875
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NRU,Nauru,Harmonized Test Scores,East Asia & Pacific,High income,IBRD,true,2020,346.6296691894531
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,OMN,Oman,"Harmonized Test Scores, Male","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,403.9751586914063
