INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value,val_std,mu,sd,z
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AFG,Afghanistan,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2020,354.7587890625,5.874252942392117,6.0389674688944694,0.14863525656586127,-1.108179380235851
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ARE,United Arab Emirates,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,448.0406799316406,6.1071134848222695,6.0389674688944694,0.14863525656586127,0.45847813972456836
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ARG,Argentina,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,408.1726379394531,6.014137164636122,6.0389674688944694,0.14863525656586127,-0.1670552790235513
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ARM,Armenia,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,442.9694519042969,6.095755758047908,6.0389674688944694,0.14863525656586127,0.38206472989990015
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ATG,Antigua and Barbuda,Harmonized Test Scores,Latin America & Caribbean,High income,IBRD,true,2020,406.9974365234375,6.011260891353633,6.0389674688944694,0.14863525656586127,-0.18640649722671787
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AUS,Australia,Harmonized Test Scores,East Asia & Pacific,High income,,true,2020,515.6853637695312,6.2474341085314435,6.0389674688944694,0.14863525656586127,1.4025382971273788
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AUT,Austria,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,507.6393737792969,6.231739265994891,6.0389674688944694,0.14863525656586127,1.2969452978674896
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AZE,Azerbaijan,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,415.9461975097656,6.032957190716294,6.0389674688944694,0.14863525656586127,-0.040436423477442314
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BDI,Burundi,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,422.747802734375,6.049138473393605,6.0389674688944694,0.14863525656586127,0.06842928612047737
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BEL,Belgium,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,516.807861328125,6.249604249373153,6.0389674688944694,0.14863525656586127,1.4171387418122359
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BEN,Benin,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IDA,true,2020,383.9228515625,5.953042928655969,6.0389674688944694,0.14863525656586127,-0.5780898975367043
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BFA,Burkina Faso,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,403.6543273925781,6.003033190046343,6.0389674688944694,0.14863525656586127,-0.24176147489073926
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BGD,Bangladesh,Harmonized Test Scores,South Asia,Lower middle income,IDA,true,2020,368.3152770996094,5.911650688724558,6.0389674688944694,0.14863525656586127,-0.8565718734000127
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BGR,Bulgaria,Harmonized Test Scores,Europe & Central Asia,High income,IBRD,true,2020,441.0933227539063,6.0915209972436,6.0389674688944694,0.14863525656586127,0.35357377222169006
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BHR,Bahrain,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,451.7059936523438,6.115242894142966,6.0389674688944694,0.14863525656586127,0.5131718208102166
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BLR,Belarus,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,488.1430969238281,6.192655078412623,6.0389674688944694,0.14863525656586127,1.0339916186039875
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BRA,Brazil,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,413.2447509765625,6.026456985077479,6.0389674688944694,0.14863525656586127,-0.08416901955860813
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BWA,Botswana,Harmonized Test Scores,Sub-Saharan Africa,Upper middle income,IBRD,true,2020,391.3182983398438,5.972073495869357,6.0389674688944694,0.14863525656586127,-0.450054546751976
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CAF,Central African Republic,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,368.7301635742188,5.912773451941431,6.0389674688944694,0.14863525656586127,-0.849018058492209
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CAN,Canada,Harmonized Test Scores,North America,High income,,true,2020,533.9979858398438,6.282262982103581,6.0389674688944694,0.14863525656586127,1.6368627392337807
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CHE,Switzerland,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,515.1390380859375,6.246376182840364,6.0389674688944694,0.14863525656586127,1.3954207012384727
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CHN,China,Harmonized Test Scores,East Asia & Pacific,Upper middle income,IBRD,true,2020,441.0,6.091309882077698,6.0389674688944694,0.14863525656586127,0.35215341496070374
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CIV,C�te d�Ivoire,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,Blend,true,2020,373.2305297851563,5.924871997324249,6.0389674688944694,0.14863525656586127,-0.7676205108151012
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CMR,Cameroon,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,Blend,true,2020,378.8688354492188,5.939826023265123,6.0389674688944694,0.14863525656586127,-0.6670116358659226
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,COD,"Congo, Dem. Rep.",Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,310.1971435546875,5.740426613453266,6.0389674688944694,0.14863525656586127,-2.0085467091646443
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,COL,Colombia,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,419.0275268554688,6.040320249261822,6.0389674688944694,0.14863525656586127,0.009101342431183757
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CRI,Costa Rica,Harmonized Test Scores,Latin America & Caribbean,High income,IBRD,true,2020,428.5556945800781,6.062751406079367,6.0389674688944694,0.14863525656586127,0.1600154481138111
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CYP,Cyprus,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,502.1621704101563,6.22091252451999,6.0389674688944694,0.14863525656586127,1.2241042928122496
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CZE,Czechia,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,512.2216186523438,6.240707757053663,6.0389674688944694,0.14863525656586127,1.3572842192377215
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,DEU,Germany,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,517.2814331054688,6.250518401875003,6.0389674688944694,0.14863525656586127,1.4232890491011734
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,DMA,Dominica,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,Blend,true,2020,403.7832336425781,6.003351698248322,6.0389674688944694,0.14863525656586127,-0.23961859029298443
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,DNK,Denmark,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,517.8778076171875,6.251668417328812,6.0389674688944694,0.14863525656586127,1.431026213757658
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,DOM,Dominican Republic,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,345.2165222167969,5.847064366088592,6.0389674688944694,0.14863525656586127,-1.2911008278903464
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,DZA,Algeria,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,true,2020,374.0890808105469,5.927163546588281,6.0389674688944694,0.14863525656586127,-0.7522032449726879
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ECU,Ecuador,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,420.1485595703125,6.042985644525944,6.0389674688944694,0.14863525656586127,0.027033798873241272
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,EGY,"Egypt, Arab Rep.",Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,true,2020,355.9865112304688,5.8776979973976635,6.0389674688944694,0.14863525656586127,-1.0850014675040869
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,FIN,Finland,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,533.7076416015625,6.28172013323383,6.0389674688944694,0.14863525656586127,1.6332105178006364
