INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value,val_std,mu,sd,z
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ARM,Armenia,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,442.9694519042969,6.095755758047908,6.038967468894472,0.14863525656586127,0.3820647298998822
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HKG,"Hong Kong SAR, China",Harmonized Test Scores,East Asia & Pacific,High income,,true,2020,548.6314086914062,6.309247887549268,6.038967468894472,0.14863525656586127,1.8184139140300992
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HRV,Croatia,Harmonized Test Scores,Europe & Central Asia,High income,IBRD,true,2020,487.5812377929688,6.19150575815382,6.038967468894472,0.14863525656586127,1.0262591311352642
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,JPN,Japan,Harmonized Test Scores,East Asia & Pacific,High income,,true,2020,537.7234497070312,6.2892023589173425,6.038967468894472,0.14863525656586127,1.6835500257772935
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KHM,Cambodia,Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,451.8895874023438,6.115648359355818,6.038967468894472,0.14863525656586127,0.5158997416428468
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LKA,Sri Lanka,Harmonized Test Scores,South Asia,Lower middle income,IDA,true,2020,400.0,5.993961427306569,6.038967468894472,0.14863525656586127,-0.3027951956200937
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NRU,Nauru,Harmonized Test Scores,East Asia & Pacific,High income,IBRD,true,2020,346.6296691894531,5.8511377441487955,6.038967468894472,0.14863525656586127,-1.263695633764039
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SLB,Solomon Islands,Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,350.5186157226563,5.8622626706524885,6.038967468894472,0.14863525656586127,-1.1888484759582227
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,TZA,Tanzania,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IDA,true,2020,388.4801635742188,5.964812936091516,6.038967468894472,0.14863525656586127,-0.4989027133686691
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,UZB,Uzbekistan,Harmonized Test Scores,Europe & Central Asia,Lower middle income,Blend,true,2020,474.0751342773438,6.163472968951898,6.038967468894472,0.14863525656586127,0.8376579213711423
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ARG,Argentina,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,408.1726379394531,6.014137164636122,6.038967468894472,0.14863525656586127,-0.16705527902356923
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AUS,Australia,Harmonized Test Scores,East Asia & Pacific,High income,,true,2020,515.6853637695312,6.2474341085314435,6.038967468894472,0.14863525656586127,1.4025382971273608
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AZE,Azerbaijan,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,415.9461975097656,6.032957190716294,6.038967468894472,0.14863525656586127,-0.04043642347746024
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CRI,Costa Rica,Harmonized Test Scores,Latin America & Caribbean,High income,IBRD,true,2020,428.5556945800781,6.062751406079367,6.038967468894472,0.14863525656586127,0.16001544811379317
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GHA,Ghana,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IDA,true,2020,307.2757873535156,5.730994795815503,6.038967468894472,0.14863525656586127,-2.0720028356294065
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LAO,Lao PDR,Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,368.14208984375,5.911181637248366,6.038967468894472,0.14863525656586127,-0.8597275949093764
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LUX,Luxembourg,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,492.8478393554688,6.202227452241738,6.038967468894472,0.14863525656586127,1.098393390096678
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MHL,Marshall Islands,Harmonized Test Scores,East Asia & Pacific,Upper middle income,IDA,true,2020,375.0296936035156,5.929668112621519,6.038967468894472,0.14863525656586127,-0.7353528281126365
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NAM,Namibia,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IBRD,true,2020,406.661865234375,6.010438069110885,6.038967468894472,0.14863525656586127,-0.19194234559648912
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NER,Niger,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,304.9222412109375,5.72333095597028,6.038967468894472,0.14863525656586127,-2.1235642216847244
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PAK,Pakistan,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,true,2020,338.6565551757813,5.827934975247278,6.038967468894472,0.14863525656586127,-1.4198010520719475
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SLV,El Salvador,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,435.9227600097656,6.079756428923636,6.038967468894472,0.14863525656586127,0.2744231817643475
