economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
MDA,Moldova,Europe & Central Asia,Upper middle income,IBRD,0.24546982170269893,110,0.23238686174722284,7,4.290563185924015,0.0541623212797823
TON,Tonga,East Asia & Pacific,Upper middle income,IDA,-0.8315468385467375,43,-0.3116143243786684,7,3.2135465256745785,-0.09696897863125077
SSD,South Sudan,Sub-Saharan Africa,Low income,IDA,-0.5260950715476763,82,-2.158299523568534,2,3.51899829267364,-0.6133278120827721
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,IBRD,-0.540370710782282,87,0.04174960440025661,7,3.504722653439034,0.011912384667382885
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,-0.22182311211425418,99,-0.36747263610376296,6,3.8232702521070623,-0.09611474258228102
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,IBRD,-0.5197507757586547,79,0.06413020497172776,7,3.5253425884626615,0.01819119797934129
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,-0.13128770575267792,65,-0.0320486626494421,7,3.9138056584686383,-0.008188618814042453
SEN,Senegal,Sub-Saharan Africa,Lower middle income,IDA,-0.10290653973245473,110,-0.6627162140293149,6,3.9421868244888616,-0.1681087790950247
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,Blend,-0.12022918746036582,98,-0.6729717981690388,7,3.9248641767609502,-0.17146371641436478
BGD,Bangladesh,South Asia,Lower middle income,IDA,-0.25090223155375657,105,-0.7441963050230028,6,3.7941911326675597,-0.19614096364718062
RWA,Rwanda,Sub-Saharan Africa,Low income,IDA,4.938021971482601E-4,110,-1.2397383843423284,7,4.045587166418464,-0.30644213888978244
BWA,Botswana,Sub-Saharan Africa,Upper middle income,IBRD,0.16193507823991782,87,-0.6937274417574255,7,4.207028442461234,-0.1648972549735306
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,IBRD,0.0998335013804834,105,-0.7406707999202021,7,4.1449268656018,-0.17869333378760702
CYP,Cyprus,Europe & Central Asia,High income,,0.10348123271851503,110,0.9677428402194337,7,4.148574596939831,0.23327116762786015
AUS,Australia,East Asia & Pacific,High income,,0.6731966518265895,110,2.1792112672947925,7,4.718290016047906,0.4618646288979339
STP,S�o Tom� and Pr�ncipe,Sub-Saharan Africa,Lower middle income,IDA,-0.8321035691985975,88,-0.2028564888435849,1,3.2129897950227186,-0.06313636263577069
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.015311375409636568,81,-0.44887468332329616,7,4.0297819888116795,-0.11138932194584114
URY,Uruguay,Latin America & Caribbean,High income,IBRD,0.14489915515522855,105,0.3412464731285236,6,4.189992519376545,0.0814432177504937
ROU,Romania,Europe & Central Asia,High income,IBRD,0.3904626701302327,110,0.2674137742544312,7,4.435556034351549,0.06028867005250795
JPN,Japan,East Asia & Pacific,High income,,0.7138257421220146,81,1.5720094534301072,5,4.758919106343331,0.3303290974907979
SVK,Slovak Republic,Europe & Central Asia,High income,,0.4587133334576368,110,0.7313728796367743,7,4.503806697678954,0.16238993561017814
FRA,France,Europe & Central Asia,High income,,0.8625986917759594,110,1.1131986147953588,7,4.907692055997275,0.2268273155881924
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.21712215652876593,110,0.7196845568974716,7,4.2622155207500825,0.16885222096202646
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,0.3352011155992807,110,0.3098506087862591,7,4.380294479820597,0.07073739224924203
MOZ,Mozambique,Sub-Saharan Africa,Low income,IDA,-0.19156983409998676,110,-0.8297412386326926,5,3.8535235301213295,-0.2153201432784732
FIN,Finland,Europe & Central Asia,High income,,0.4022420267874269,110,1.2376650435352285,7,4.4473353910087425,0.2782936151020762
