economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency,EII_band,OUTCOME_band,Efficiency_band,EII_high,OUTCOME_high,Efficiency_high
LBR,Liberia,Sub-Saharan Africa,Low income,IDA,-0.646782784587002,61,-2.3732863605450674,6,3.3983105796343156,-0.6983724132714354,0.0,0.0,0.0,0,0,0
SSD,South Sudan,Sub-Saharan Africa,Low income,IDA,-0.5260950715476762,82,-2.1582995235685427,2,3.5189982926736416,-0.6133278120827742,0.0,0.0,0.0,0,0,0
MLI,Mali,Sub-Saharan Africa,Low income,IDA,-0.08628226227306196,110,-2.1236316818894623,7,3.9588111019482555,-0.5364316778955066,1.0,0.0,0.0,0,0,0
NER,Niger,Sub-Saharan Africa,Low income,IDA,-0.040771953490580964,110,-2.1090081107857794,7,4.0043214107307366,-0.5266830242782417,1.0,0.0,0.0,0,0,0
TCD,Chad,Sub-Saharan Africa,Low income,IDA,-0.29772663477476263,109,-1.8208388043394366,7,3.747366729446555,-0.4858982148801739,0.0,0.0,0.0,0,0,0
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-0.1759210679102042,63,-1.6890655335582514,6,3.8691722963111133,-0.43654440903771957,1.0,0.0,0.0,0,0,0
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Blend,-0.32589654802233464,21,-1.5650227152485179,6,3.719196816198983,-0.42079588486203595,0.0,0.0,0.0,0,0,0
AGO,Angola,Sub-Saharan Africa,Lower middle income,IBRD,-0.16112575890675976,67,-1.6280072486176422,6,3.8839676053145578,-0.4191608720912058,1.0,0.0,0.0,0,0,0
SLE,Sierra Leone,Sub-Saharan Africa,Low income,IDA,-0.2740541970363067,108,-1.5430833650578417,6,3.7710391671850108,-0.40919314190250533,0.0,0.0,0.0,0,0,0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,IDA,-0.4183804416397132,110,-1.4823617371854472,7,3.6267129225816044,-0.4087342364364084,0.0,0.0,0.0,0,0,0
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,IDA,-0.861600443683592,55,-1.2860079972628118,7,3.1834929205377254,-0.40396131838910815,0.0,0.0,0.0,0,0,0
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,IDA,-1.1399837594823996,28,-1.097249916977853,7,2.905109604738918,-0.3776965644215213,0.0,0.0,0.0,0,0,0
VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA,-1.235020643517901,110,-1.021662400825353,6,2.810072720703417,-0.36357151660104037,0.0,0.0,0.0,0,0,0
CAF,Central African Republic,Sub-Saharan Africa,Low income,IDA,-0.6031578270629027,105,-1.2405394443897595,3,3.441935537158415,-0.3604191394630014,0.0,0.0,0.0,0,0,0
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,-0.36908676110311117,23,-1.3141478904892807,6,3.6760066031182066,-0.3574933432857663,0.0,0.0,0.0,0,0,0
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,IDA,-0.3366775817398682,101,-1.277801980333272,4,3.7084157824814494,-0.34456815397281143,0.0,0.0,0.0,0,0,0
HTI,Haiti,Latin America & Caribbean,Lower middle income,IDA,-1.1646102311949362,28,-0.9909957104477165,6,2.8804831330263814,-0.3440380188605813,0.0,0.0,0.0,0,0,0
ETH,Ethiopia,Sub-Saharan Africa,,IDA,0.16400188262643497,94,-1.3691433755877078,6,4.2090952468477525,-0.32528210821864334,1.0,0.0,0.0,0,0,0
MWI,Malawi,Sub-Saharan Africa,Low income,IDA,-0.44152355922621367,97,-1.142973775481163,6,3.6035698049951037,-0.31717819754645105,0.0,0.0,0.0,0,0,0
RWA,Rwanda,Sub-Saharan Africa,Low income,IDA,4.93802197148361E-4,110,-1.2397383843423349,7,4.045587166418466,-0.3064421388897839,1.0,0.0,0.0,0,0,0
MDG,Madagascar,Sub-Saharan Africa,Low income,IDA,-0.3303603530646485,105,-1.0896088946282987,7,3.714733011156669,-0.2933209173730156,0.0,0.0,0.0,0,0,0
SDN,Sudan,Sub-Saharan Africa,Low income,IDA,-0.317618818953083,6,-1.0928954287615684,6,3.7274745452682345,-0.29319997104981493,0.0,0.0,0.0,0,0,0
GHA,Ghana,Sub-Saharan Africa,Lower middle income,IDA,0.10664273079258542,110,-1.1863703529173575,7,4.151736095013903,-0.2857528334573454,1.0,0.0,0.0,0,0,0
GMB,"Gambia, The",Sub-Saharan Africa,Low income,IDA,-0.7904176880041084,106,-0.9189937545769461,7,3.254675676217209,-0.282361084790193,0.0,0.0,0.0,0,0,0
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,0.016003664508559973,57,-1.1004862612307817,7,4.061097028729877,-0.2709825087766895,1.0,0.0,0.0,0,0,0
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-0.1947893793585169,110,-1.041670327533557,7,3.850303984862801,-0.27054236019514577,1.0,0.0,0.0,0,0,0
TUV,Tuvalu,East Asia & Pacific,Upper middle income,IDA,-0.8476538512405652,59,-0.8385603783294557,7,3.1974395129807522,-0.2622599661151131,0.0,0.0,0.0,0,0,0
NRU,Nauru,East Asia & Pacific,High income,IBRD,-0.9750891645693529,6,-0.7656876370234208,7,3.0700041996519647,-0.24940931257039453,0.0,0.0,0.0,0,0,0
UGA,Uganda,Sub-Saharan Africa,Low income,IDA,-0.5288274978835301,104,-0.8750554683100795,4,3.5162658663377875,-0.24885930176305332,0.0,0.0,0.0,0,0,0
CIV,C�te d�Ivoire,Sub-Saharan Africa,Lower middle income,Blend,0.045130992054023766,110,-0.8887666908462702,7,4.090224356275341,-0.21729044996827585,1.0,0.0,0.0,0,0,0
MOZ,Mozambique,Sub-Saharan Africa,Low income,IDA,-0.19156983409998674,110,-0.8297412386327017,5,3.853523530121331,-0.2153201432784755,1.0,0.0,0.0,0,0,0
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,IDA,0.06105375004543137,57,-0.8578426007556369,7,4.106147114266749,-0.2089166746547086,1.0,0.0,0.0,0,0,0
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Blend,-0.1457018749585542,67,-0.7989528722114786,7,3.8993914892627632,-0.2048916797432238,1.0,0.0,0.0,0,0,0
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,,-3.0450933642213176,4,-0.20285648884358504,1,1.0,-0.20285648884358504,0.0,1.0,0.0,0,0,0
COM,Comoros,Sub-Saharan Africa,Lower middle income,IDA,-0.7561039903061303,100,-0.6649556493340956,7,3.288989373915187,-0.2021762838785148,0.0,0.0,0.0,0,0,0
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,IBRD,0.6615645080504764,110,-0.9511057104926831,7,4.706657872271794,-0.20207666167874797,2.0,0.0,0.0,1,0,0
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend,-0.5341006342983814,24,-0.7073711761274579,7,3.510992729922936,-0.20147326711866595,0.0,0.0,0.0,0,0,0
BGD,Bangladesh,South Asia,Lower middle income,IDA,-0.2509022315537564,105,-0.7441963050230104,6,3.794191132667561,-0.19614096364718253,1.0,0.0,0.0,0,0,0
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,IDA,-0.5187125057242915,105,-0.6812810263760196,7,3.526380858497026,-0.19319553210891335,0.0,0.0,0.0,0,0,0
GIN,Guinea,Sub-Saharan Africa,Lower middle income,IDA,-0.34029922888819475,110,-0.7031486428721482,7,3.704794135333123,-0.18979425500761957,0.0,0.0,0.0,0,0,0
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Blend,-0.07213696238966044,104,-0.7327102484563878,7,3.972956401831657,-0.18442443720716026,1.0,0.0,0.0,0,0,0
NAM,Namibia,Sub-Saharan Africa,Lower middle income,IBRD,-0.589838351821984,110,-0.6315443296383758,7,3.4552550123993337,-0.18277792156354636,0.0,0.0,0.0,0,0,0
GUY,Guyana,Latin America & Caribbean,High income,IDA,-0.2511730919719111,91,-0.6885224802026169,7,3.7939202722494065,-0.18148048213843815,1.0,0.0,0.0,0,0,0
