Country name,avg_all_roots_z_M,avg_all_roots_z_F,n_roots_used,diff_abs_F_M_z,gap_category,gap_binary_high
Afghanistan,-1.0088117874398386,-1.5864883660298092,2,0.5776765785899707,Very large,1
Albania,-0.4904845236299399,-0.3905436435090158,17,0.09994088012092406,Moderate,0
Algeria,-0.37425681603921035,-0.22514961353888321,32,0.14910720250032714,Moderate,1
Angola,-1.4793981170924289,-1.8792111673454497,2,0.39981305025302083,Very large,1
Antigua and Barbuda,-0.1665215047625007,-0.027104864319059757,2,0.13941664044344093,Moderate,1
Argentina,-0.17656297365854406,-0.15378336416101573,26,0.02277960949752833,Very small,0
Armenia,-0.039323933826689396,-0.024821607852125567,29,0.014502325974563829,Very small,0
Australia,0.19952131311638993,0.12266604786947329,35,0.07685526524691665,Moderate,0
Austria,0.15651607101189574,0.06238218641558694,20,0.09413388459630881,Moderate,0
Azerbaijan,-0.19989410033517208,-0.15673224565254043,29,0.043161854682631645,Very small,0
Bahrain,0.09286291931377434,-0.005751256520034626,26,0.09861417583380896,Moderate,0
Bangladesh,0.5953887563428701,0.6165776782062368,7,0.021188921863366628,Very small,0
Belarus,0.2388864464870517,0.18647429643760266,11,0.05241215004944905,Moderate,0
Belgium,0.04486417912391299,-0.02543535615653623,35,0.07029953528044922,Moderate,0
Belize,0.5131286107074549,0.4856394319442984,12,0.02748917876315643,Very small,0
Benin,-0.1655134374844569,-0.25775522048795485,14,0.09224178300349795,Moderate,0
Bhutan,-0.5835287387051884,-0.7638040228761034,2,0.18027528417091498,Large,1
Bosnia and Herzegovina,-0.4411305763103454,-0.39567213733978696,23,0.04545843897055846,Very small,0
Botswana,0.1835912175978857,0.058833881906654624,34,0.12475733569123107,Moderate,1
Brazil,-0.7577378191175522,-0.8303668746389595,13,0.0726290555214073,Moderate,0
Brunei Darussalam,-0.4905182582720487,-0.44243911046403606,11,0.048079147808012646,Very small,0
Bulgaria,-0.028316972885318255,0.03290487372595695,35,0.06122184661127521,Moderate,0
Burkina Faso,0.42747923420604633,0.36084838896232546,23,0.06663084524372087,Moderate,0
Burundi,-0.10375863637333392,-0.1106419440697259,22,0.006883307696391977,Very small,0
Cambodia,-0.0010020229372853324,-0.10812034672686366,23,0.10711832378957832,Moderate,1
Cameroon,0.2334273021515138,0.3572599422857391,23,0.12383264013422529,Moderate,1
Canada,0.1605698012121345,0.11542157110180433,35,0.04514823011033016,Very small,0
Chad,0.3646285686895444,0.4798099165320059,23,0.11518134784246148,Moderate,1
Chile,-0.177760194462355,-0.18154014048473108,38,0.0037799460223760795,Very small,0
China,0.4644158982212796,0.36411726212885065,2,0.10029863609242895,Moderate,1
Colombia,-0.19784377944390666,-0.1803493952319998,38,0.017494384211906855,Very small,0
Comoros,-0.7041441180096107,-0.9054419240294322,2,0.2012978060198215,Large,1
"Congo, Dem Rep",0.5566961850633007,0.5480611774750228,23,0.008635007588277843,Very small,0
"Congo, Rep",0.16157941498879907,0.11855348746252971,23,0.04302592752626937,Very small,0
Costa Rica,-0.3986796012110609,-0.45097924038303416,23,0.05229963917197328,Moderate,0
Cote d'Ivoire,0.1341170028386399,0.17742680855875065,23,0.043309805720110756,Very small,0
Croatia,-0.0815844647979023,-0.05105657428125739,20,0.030527890516644902,Very small,0
Cyprus,-0.04211130034282011,-0.08490737849454147,26,0.04279607815172136,Very small,0
Czech Republic,1.1669534960043464,1.112884632309771,2,0.05406886369457542,Moderate,0
Czechia,-0.06414210493745325,-0.007879631443249324,24,0.05626247349420392,Moderate,0
Denmark,-0.0060892364613603315,-0.04706809740201855,32,0.04097886094065822,Very small,0
Dominica,-0.15003211863564098,0.004841318951436663,2,0.15487343758707764,Large,1
