Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Afghanistan,1,-0.1947893793585169,-1.041670327533557,-0.27054236019514577,0.0,0.0,0.0
Albania,1,-0.2624036993491947,0.30059731628301645,0.07946655499511572,0.0,1.0,1.0
Algeria,1,-0.17766511646711422,-0.4483589821489145,-0.11593207512234374,0.0,0.0,0.0
American Samoa,1,-0.9599079742867787,-0.20285648884358504,-0.06575179874292392,0.0,0.0,0.0
Andorra,1,-0.2997766873214742,-0.20285648884358504,-0.05416270674646874,0.0,0.0,0.0
Angola,1,-0.16112575890675976,-1.6280072486176422,-0.4191608720912058,0.0,0.0,0.0
Antigua and Barbuda,1,-0.540370710782282,0.04174960440024989,0.011912384667380963,0.0,0.0,0.0
Argentina,1,0.3486176137198266,0.04609121421043428,0.010490269943070365,1.0,0.0,0.0
Armenia,1,-0.14097082049162402,0.21543500419634584,0.05518141446209219,0.0,0.0,1.0
Aruba,1,-0.25353537096897366,-0.20285648884358504,-0.053502145873701286,0.0,0.0,0.0
Australia,1,0.6731966518265894,2.179211267294786,0.4618646288979323,1.0,1.0,1.0
Austria,1,0.5946340114908324,1.0004628373828524,0.21562966018650864,1.0,1.0,1.0
Azerbaijan,1,0.04267184454274206,0.08069528730302032,0.019740685480176743,0.0,0.0,0.0
Bahrain,1,-0.3286643141422352,0.45769977027824876,0.1231557939384069,0.0,1.0,1.0
Bangladesh,1,-0.2509022315537564,-0.7441963050230104,-0.19614096364718253,0.0,0.0,0.0
Barbados,1,-0.24610250412004278,-0.20285648884358504,-0.05339746693630561,0.0,0.0,0.0
Belarus,1,0.6976635682277521,0.8718254344006109,0.18382249961741487,1.0,1.0,1.0
Belgium,1,0.6859347502083853,1.0832727905241135,0.2289719621872709,1.0,1.0,1.0
Belize,1,-0.48552366588391893,-0.20285648884358504,-0.056989048125208816,0.0,0.0,0.0
Benin,1,-0.2100852454683829,-0.6146151146790351,-0.16026435815705525,0.0,0.0,0.0
Bermuda,1,-0.6557208714376518,-0.20285648884358504,-0.05985075092085277,0.0,0.0,0.0
Bhutan,1,-0.45330079996833283,-0.509078647246285,-0.14173386634652785,0.0,0.0,0.0
Bolivia,1,0.2584366745917728,-0.20285648884358504,-0.04713723083469697,1.0,0.0,0.0
Bosnia and Herzegovina,1,0.2483094311087283,0.006940223529207391,0.0016164855384070427,1.0,0.0,0.0
Botswana,1,0.16193507823991798,-0.6937274417574322,-0.16489725497353216,0.0,0.0,0.0
Brazil,1,0.41214798301995637,-0.056673808052576144,-0.012714996482668217,1.0,0.0,0.0
British Virgin Islands,1,-0.8871769815278691,-0.20285648884358504,-0.06423744781695732,0.0,0.0,0.0
Brunei Darussalam,1,-0.09801704545216457,0.37063698524184047,0.09390165157926793,0.0,1.0,1.0
Bulgaria,1,0.3352011155992807,0.3098506087862521,0.07073739224924039,1.0,1.0,1.0
Burkina Faso,1,0.034222381241627776,-0.7342715851573219,-0.1799987132582188,0.0,0.0,0.0
Burundi,1,-0.320406155769161,-0.44780048398583533,-0.12022499042863918,0.0,0.0,0.0
Cabo Verde,1,-0.3986899161526754,-0.20285648884358504,-0.05563193753314111,0.0,0.0,0.0
