INDICATOR_ROOT_NAME
Expected Years of School
Learning Deprivation Gap;PISA-D for grade 15Y using  for math
Learning Deprivation Gap;PISA-D for grade 15Y using  for reading
Fraction of Children Under 5 Not Stunted
Harmonized Test Scores
Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for science
Learning Deprivation Severity;PISA for grade 15Y using MPL Level 2 for reading
"Human Capital Index (HCI), Upper Bound (scale 0-1)"
Learning Deprivation Severity;PISA for grade 15Y using MPL Level 2 for math
Learning Deprivation Severity;PISA-D for grade 15Y using  for math
Learning-Adjusted Years of School
Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for math
Survival Rate from Age 15-60
Human Capital Index (HCI) (scale 0-1)
"Human Capital Index (HCI), Lower Bound (scale 0-1)"
Learning Deprivation Gap;PISA-D for grade 15Y using  for science
Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for reading
Probability of Survival to Age 5
Learning Deprivation Gap;PASEC for grade 2 using MPL 4 for reading
Learning Deprivation Gap;PASEC for grade 2 using MPL 4 for math
Above Proficiency;PISA-D for grade 15Y using  for science
Learning Deprivation Severity;PISA-D for grade 15Y using  for science
Above Proficiency;PISA for grade 15Y using MPL Level 2 for math
Learning Deprivation Severity;PASEC for grade 2 using MPL 4 for math
Learning Deprivation Severity;PISA-D for grade 15Y using  for reading
Above Proficiency;PISA-D for grade 15Y using  for reading
Learning Deprivation Gap;PISA for grade 15 year olds using MPL Level 2 for math
Above Proficiency;PISA for grade 15Y using MPL Level 2 for reading
Above Proficiency;PISA for grade 15Y using MPL Level 2 for science
Learning Deprivation Severity;PISA for grade 15Y using MPL Level 2 for science
Above Proficiency;PISA-D for grade 15Y using  for math
Learning Deprivation Gap;PIRLS for grade 3 using MPL Low (400 points) for reading
Learning Deprivation Severity;PIRLS for grade 3 using MPL Low (400 points) for reading
Learning Deprivation Severity;PIRLS for grade 4 using MPL Low (400 points) for reading
Learning Deprivation Severity;TIMSS for grade 4 using MPL Low (400 points) for math
Learning Deprivation Severity;TIMSS for grade 4 using MPL Low (400 points) for science
Learning Deprivation Severity;PASEC for grade 2 using MPL 4 for reading
Learning Deprivation Gap;TIMSS for grade 4 using MPL Low (400 points) for math
Above Proficiency;PASEC for grade 2 using MPL 4 for reading
Learning Deprivation Gap;PIRLS for grade 4 using MPL Low (400 points) for reading
Above Proficiency;PASEC for grade 2 using MPL 4 for math
Above Proficiency;PIRLS for grade 3 using MPL Low (400 points) for reading
Learning Deprivation Gap;TIMSS for grade 4 using MPL Low (400 points) for science
Learning Deprivation Severity;PIRLS for grade 5 using MPL Low (400 points) for reading
Learning Deprivation Severity;TIMSS for grade 5 using MPL Low (400 points) for math
Learning Deprivation Gap;TIMSS for grade 5 using MPL Low (400 points) for math
Learning Deprivation Gap;SEA-PLM for grade 5 using MPL Level 6 for reading
Learning Deprivation Gap;TIMSS for grade 5 using MPL Low (400 points) for science
Above Proficiency;PIRLS for grade 4 using MPL Low (400 points) for reading
Above Proficiency;TIMSS for grade 4 using MPL Low (400 points) for math
Above Proficiency;TIMSS for grade 4 using MPL Low (400 points) for science
Learning Deprivation Severity;SEA-PLM for grade 5 using MPL Level 6 for math
Learning Deprivation Gap;PIRLS for grade 5 using MPL Low (400 points) for reading
Learning Deprivation Severity;SEA-PLM for grade 5 using MPL Level 6 for reading
Learning Deprivation Gap;SEA-PLM for grade 5 using MPL Level 6 for math
Learning Deprivation Severity;TIMSS for grade 5 using MPL Low (400 points) for science
Above Proficiency;TIMSS for grade 5 using MPL Low (400 points) for science
Above Proficiency;PIRLS for grade 5 using MPL Low (400 points) for reading
Above Proficiency;SEA-PLM for grade 5 using MPL Level 6 for reading
Learning Deprivation Gap;TIMSS for grade 6 using MPL Low (400 points) for math
Above Proficiency;SEA-PLM for grade 5 using MPL Level 6 for math
Learning Deprivation Severity;TIMSS for grade 6 using MPL Low (400 points) for math
Learning Deprivation Gap;PIRLS for grade 6 using MPL Low (400 points) for reading
Learning Deprivation Gap;PASEC for grade 6 using MPL 4 for math
