Country name,avg_all_indicators_population_z,n_roots_used,performance_category,performance_binary
Afghanistan,-1.2976500767348238,2,Very low,0
Albania,-0.4405140835694778,17,Low,0
Algeria,-0.2997032147890467,32,Moderate,0
Angola,-1.6793046422189393,2,Very low,0
Antigua and Barbuda,-0.09681318454078024,2,Moderate,0
Argentina,-0.1651731689097799,26,Moderate,0
Armenia,-0.03207277083940747,29,Moderate,0
Australia,0.16109368049293157,35,Moderate,1
Austria,0.10944912871374131,20,Moderate,1
Azerbaijan,-0.1783131729938562,29,Moderate,0
Bahrain,0.04355583139686987,26,Moderate,1
Bangladesh,0.6059832172745535,7,High,1
Belarus,0.2126803714623272,11,Moderate,1
Belgium,0.009714411483688387,35,Moderate,1
Belize,0.4993840213258766,12,High,1
Benin,-0.21163432898620585,14,Moderate,0
Bhutan,-0.6736663807906459,2,Low,0
Bosnia and Herzegovina,-0.41840135682506624,23,Low,0
Botswana,0.1212125497522702,34,Moderate,1
Brazil,-0.7940523468782559,13,Low,0
Brunei Darussalam,-0.46647868436804246,11,Low,0
Bulgaria,0.00229395042031937,35,Moderate,1
Burkina Faso,0.39416381158418584,23,High,1
Burundi,-0.10720029022152987,22,Moderate,0
Cambodia,-0.0545611848320745,23,Moderate,0
Cameroon,0.2953436222186264,23,Moderate,1
Canada,0.13799568615696942,35,Moderate,1
Chad,0.4222192426107751,23,High,1
Chile,-0.17965016747354307,38,Moderate,0
China,0.4142665801750651,2,High,1
Colombia,-0.1890965873379533,38,Moderate,0
Comoros,-0.8047930210195215,2,Low,0
"Congo, Dem Rep",0.5523786812691616,23,High,1
"Congo, Rep",0.14006645122566438,23,Moderate,1
Costa Rica,-0.42482942079704744,23,Low,0
Cote d'Ivoire,0.15577190569869523,23,Moderate,1
Croatia,-0.0663205195395798,20,Moderate,0
Cyprus,-0.06350933941868075,26,Moderate,0
Czech Republic,1.1399190641570587,2,Very high,1
Czechia,-0.03601086819035124,24,Moderate,0
Denmark,-0.026578666931689414,32,Moderate,0
Dominica,-0.07259539984210216,2,Moderate,0
Dominican Republic,-0.3752123722790728,23,Low,0
Ecuador,0.5531255145279645,14,High,1
"Egypt, Arab Rep",0.5689821492647962,11,High,1
El Salvador,0.24851615750688213,26,Moderate,1
Estonia,0.7104257840870054,17,High,1
Eswatini,-0.9792771493633172,5,Low,0
