INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_outlier,Year,Value,val_std,mu,sd,z
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),AFG,Afghanistan,Current expenditure as a percentage of total expenditure in public institutions (%),"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,false,2015,80.40733337402344,4.3994653595405495,4.5078052492198495,0.11410862786097174,-0.9494452059427065
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),ALB,Albania,Current expenditure as a percentage of total expenditure in public institutions (%),Europe & Central Asia,Upper middle income,IBRD,false,2022,89.3625717163086,4.503830151977323,4.5078052492198495,0.11410862786097174,-0.03483607959399649
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),ARE,United Arab Emirates,Current expenditure as a percentage of total expenditure in public institutions (%),"Middle East, North Africa, Afghanistan & Pakistan",High income,,false,2021,79.46391296386719,4.387808797751096,4.5078052492198495,0.11410862786097174,-1.051598408623013
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),ARG,Argentina,Current expenditure as a percentage of total expenditure in public institutions (%),Latin America & Caribbean,Upper middle income,IBRD,false,2021,95.90017700195312,4.573681345540595,4.5078052492198495,0.11410862786097174,0.577310388842883
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),ARM,Armenia,Current expenditure as a percentage of total expenditure in public institutions (%),Europe & Central Asia,Upper middle income,IBRD,false,2022,92.04474639892578,4.533080521515031,4.5078052492198495,0.11410862786097174,0.22150185107805073
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),ASM,American Samoa,Current expenditure as a percentage of total expenditure in public institutions (%),East Asia & Pacific,High income,,false,2006,93.76538848876952,4.551404242266188,4.5078052492198495,0.11410862786097174,0.3820832294947855
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),ATG,Antigua and Barbuda,Current expenditure as a percentage of total expenditure in public institutions (%),Latin America & Caribbean,High income,IBRD,false,2009,94.84380340576172,4.562719818531316,4.5078052492198495,0.11410862786097174,0.48124817851962637
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),AUS,Australia,Current expenditure as a percentage of total expenditure in public institutions (%),East Asia & Pacific,High income,,false,2015,92.33827209472656,4.536230228401816,4.5078052492198495,0.11410862786097174,0.24910455690168687
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),AUT,Austria,Current expenditure as a percentage of total expenditure in public institutions (%),Europe & Central Asia,High income,,false,2020,93.15242004394533,4.54491495890394,4.5078052492198495,0.11410862786097174,0.32521388066557194
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),AZE,Azerbaijan,Current expenditure as a percentage of total expenditure in public institutions (%),Europe & Central Asia,Upper middle income,IBRD,false,2021,90.44390106201172,4.515725681109472,4.5078052492198495,0.11410862786097174,0.06941133232512751
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),BDI,Burundi,Current expenditure as a percentage of total expenditure in public institutions (%),Sub-Saharan Africa,Low income,IDA,false,2012,98.09078216552734,4.596036421525651,4.5078052492198495,0.11410862786097174,0.7732208682177888
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),BEL,Belgium,Current expenditure as a percentage of total expenditure in public institutions (%),Europe & Central Asia,High income,,false,2020,94.85588073730467,4.562845821154773,4.5078052492198495,0.11410862786097174,0.48235241249227895
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),BEN,Benin,Current expenditure as a percentage of total expenditure in public institutions (%),Sub-Saharan Africa,Lower middle income,IDA,false,2015,91.69014739990234,4.529262182132483,4.5078052492198495,0.11410862786097174,0.18803953140841165
SE.XPD.CUR.TOTL.ZS,Current expenditure as % of total expenditure in public institutions (%),_T,_T,_T,_Z,SE.XPD.CUR.TOTL.ZS,SHARE,NUMBER,Current expenditure as % of total expenditure in public institutions (%),BGD,Bangladesh,Current expenditure as a percentage of total expenditure in public institutions (%),South Asia,Lower middle income,IDA,false,2019,71.03983306884766,4.277219203104178,4.5078052492198495,0.11410862786097174,-2.020759082272153
