economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,0.1368001861921685,28,0.3176873190025032,1421,2.6676413940724855,0.1190892148054106
HTI,Haiti,Latin America & Caribbean,Lower middle income,IDA,-1.1646102311949365,28,0.05423686236558946,1072,1.3662309766853804,0.03969816472553841
BRB,Barbados,Latin America & Caribbean,High income,IBRD,-0.15127694518772739,109,-0.33910171605324685,980,2.3795642626925897,-0.14250580300341928
LVA,Latvia,Europe & Central Asia,High income,,0.2849748779296321,104,0.014554329546601366,1108,2.8158160858099492,0.005168778465307658
POL,Poland,Europe & Central Asia,High income,IBRD,0.707110124004862,100,0.23987987666802393,1107,3.2379513318851787,0.07408384255373061
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,IDA,-0.24532103918878287,94,0.11943710254606857,1294,2.285520168691534,0.05225817045160735
JAM,Jamaica,Latin America & Caribbean,Upper middle income,IBRD,0.13901967753866665,107,0.11228692065810672,1214,2.6698608854189834,0.042057217764170304
BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,0.5070311895171672,98,-0.21333820933845368,1390,3.037872397397484,-0.07022619169956529
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,-0.1266342079527848,109,-0.0924880104513257,1625,2.404206999927532,-0.03846923765470838
MOZ,Mozambique,Sub-Saharan Africa,Low income,IDA,-0.13141000839305483,107,0.0078803527646971,1214,2.399431199487262,0.0032842586886346493
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.18488316678929081,107,-0.027314772110228428,2015,2.345958041091026,-0.011643333611169468
CUB,Cuba,Latin America & Caribbean,Upper middle income,,0.3343584024586719,64,0.06118041381762022,983,2.8651996103389887,0.02135293247871893
ABW,Aruba,Latin America & Caribbean,High income,,-0.25353537096897355,101,-0.2008043439063112,225,2.277305836911343,-0.08817627419717039
FRA,France,Europe & Central Asia,High income,,0.8625986917759595,110,0.15001241920790956,1078,3.3934398996562765,0.044206593793838636
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,IDA,-1.5308412078803169,9,0.12852701286561358,427,1.0,0.12852701286561358
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,,-0.5402216108714111,105,-0.838154427737287,783,1.9906195970089058,-0.4210520327423147
BRN,Brunei Darussalam,East Asia & Pacific,High income,,-0.10282730407617255,110,-0.3136381971428095,351,2.4280139038041444,-0.1291747945312051
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,IDA,-0.37989813522176735,107,0.19818945242003055,1322,2.1509430726585492,0.09214072419641953
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,IDA,-0.2580978489755376,12,-0.38071858409079273,170,2.272743358904779,-0.1675149913425591
BOL,Bolivia,Latin America & Caribbean,Lower middle income,IBRD,0.22771961250937872,106,0.16654352929968383,1182,2.758560820389696,0.06037333963010342
URY,Uruguay,Latin America & Caribbean,High income,IBRD,0.14489915515522855,105,-0.11259085634974407,1736,2.6757403630355454,-0.0420783936682157
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,-0.2414283125956592,30,0.16349160482842842,187,2.2894128952846575,0.07141202234212997
GIB,Gibraltar,Europe & Central Asia,High income,,0.2504735717527018,13,-0.40904308674698114,143,2.7813147796330187,-0.1470682461914478
ETH,Ethiopia,Sub-Saharan Africa,,IDA,0.257245549584255,94,0.026691889307069734,1111,2.788086757464572,0.009573550477081562
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,IBRD,-0.548580977728387,87,-0.19116626694030123,213,1.9822602301519299,-0.09643853215258691
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,IBRD,-1.1774105431953614,31,-0.0902939396566005,186,1.3534306646849554,-0.06671486173074012
ITA,Italy,Europe & Central Asia,High income,,0.6986553981903745,116,-0.036558981299332584,1513,3.2294966060706916,-0.011320334330313377
UKR,Ukraine,Europe & Central Asia,Upper middle income,IBRD,0.5545946902458856,88,-0.03164536748548539,1447,3.0854358981262022,-0.01025636847769346
GHA,Ghana,Sub-Saharan Africa,Lower middle income,IDA,0.10935774660336608,114,0.206039589978805,1311,2.640198954483683,0.07803941806313536
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Blend,-0.03360885678396819,110,0.15151790090437375,1433,2.497232351096349,0.06067433045941981
NER,Niger,Sub-Saharan Africa,Low income,IDA,-0.029393042434970994,112,-0.012316814354144796,1024,2.5014481654453458,-0.004923873508269147
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,,-1.4860420592906445,2,0.30807138153410324,60,1.0447991485896724,0.2948618229158734
GTM,Guatemala,Latin America & Caribbean,Upper middle income,IBRD,-0.10210166693140485,115,0.21318327355357392,1448,2.428739540948912,0.08777527188867806
SEN,Senegal,Sub-Saharan Africa,Lower middle income,IDA,-0.10290653973245474,110,0.0636394246061836,1435,2.427934668147862,0.026211341450439695
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,Blend,-0.5140587823395433,108,-0.4919487909365967,945,2.0167824255407734,-0.24392754751652856
GUY,Guyana,Latin America & Caribbean,High income,IDA,-0.23272052120098916,92,0.2883440395208891,1196,2.2981206866793276,0.12546949391832515
COM,Comoros,Sub-Saharan Africa,Lower middle income,IDA,-0.7286453201954304,98,0.35912969169188336,1215,1.8021958876848865,0.19927339427747995
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Blend,-0.33153170369802165,102,-0.06300494696722342,225,2.1993095041822954,-0.02864760364442143
HRV,Croatia,Europe & Central Asia,High income,IBRD,0.004512863601411591,84,-0.07734351435690477,925,2.5353540714817284,-0.030506001203888324
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,,-0.14464037537018212,56,-0.5257542027755544,1681,2.3862008325101347,-0.22033107842917551
BHS,"Bahamas, The",Latin America & Caribbean,High income,,-0.7296629363770456,6,-0.2126382611787671,201,1.8011782715032711,-0.11805508901753423
GBR,United Kingdom,Europe & Central Asia,High income,,0.5742569067408828,112,0.20408748130754453,1379,3.1050981146211996,0.06572658053751766
PRY,Paraguay,Latin America & Caribbean,Upper middle income,IBRD,0.05014742317102669,111,0.22117252034569918,1436,2.5809886310513432,0.08569294637133154
GMB,"Gambia, The",Sub-Saharan Africa,Low income,IDA,-0.6292636025768394,108,0.11598512861305543,1182,1.9015776053034774,0.060994159948862606
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.5255709197315185,99,-0.034338414003502626,1034,3.0564121276118352,-0.011234876898075053
TON,Tonga,East Asia & Pacific,Upper middle income,IDA,-0.9641863530303012,42,0.09578757883163762,1137,1.5666548548500157,0.06114146873837625
CRI,Costa Rica,Latin America & Caribbean,High income,IBRD,0.25480246994221223,114,-0.03581025706678021,1710,2.785643677822529,-0.012855289910866213
TJK,Tajikistan,Europe & Central Asia,Lower middle income,IDA,0.011290972402191901,45,0.01843887270553782,1184,2.5421321802825085,0.007253309976780475
BMU,Bermuda,North America,High income,,-0.643661506993395,84,-0.581275186128139,196,1.887179700886922,-0.3080126316825874
ERI,Eritrea,Sub-Saharan Africa,Low income,IDA,-0.3024991436511994,59,-0.016425478976655365,210,2.2283420642291176,-0.007371165872748386
NPL,Nepal,South Asia,Lower middle income,IDA,-0.09793253183527995,116,0.27387168887555813,1225,2.432908676045037,0.11256965441085398
VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA,-0.9512926841958841,105,-0.23431308174600748,1126,1.5795485236844327,-0.1483418066824893
UGA,Uganda,Sub-Saharan Africa,Low income,IDA,-0.2869198737470406,99,0.14727175176143678,1218,2.243921334133276,0.06563142366945814
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,0.0690025739755786,115,-0.006372090124435489,1588,2.5998437818558955,-0.0024509511567217244
AUS,Australia,East Asia & Pacific,High income,,0.7224025019609646,114,0.2764394975289372,1419,3.253243709841281,0.0849734978946364
MLI,Mali,Sub-Saharan Africa,Low income,IDA,-0.07194757603963965,114,0.13100357136262866,1016,2.4588936318406773,0.05327744546012024
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.2349473074416526,116,-0.007999024191587083,849,2.7657885153219697,-0.002892131537633457
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,IBRD,-0.5091057278944561,81,-0.19813151437932758,212,2.021735479985861,-0.09800071094400205
MEX,Mexico,Latin America & Caribbean,Upper middle income,IBRD,0.4990618788456937,116,-0.04123358505218919,1885,3.0299030867260104,-0.013608879185883306
BGD,Bangladesh,South Asia,Lower middle income,IDA,0.030440751592126992,92,0.43643970576474955,1219,2.561281959472444,0.17039893017270327
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend,-0.5341006342983817,24,0.00877244825828012,1124,1.9967405735819352,0.00439338408521609
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-0.13471982127565585,107,0.32495891048768194,997,2.396121386604661,0.13561871794323135
DMA,Dominica,Latin America & Caribbean,Upper middle income,Blend,-0.5833997308516494,95,-0.11693799500879842,207,1.9474414770286674,-0.06004698800357174
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-0.15233470310808883,62,0.14492475050154505,1206,2.3785065047722282,0.06093098766422058
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,0.6723079132151534,59,-0.14280210265746807,1224,3.2031491210954703,-0.04458178413143315
MNG,Mongolia,East Asia & Pacific,Upper middle income,IBRD,0.02563045639357597,107,0.032255460970935484,1351,2.556471664273893,0.012617179146437717
SYC,Seychelles,Sub-Saharan Africa,High income,IBRD,-0.21651741674337932,100,-0.21695851399909596,307,2.3143237911369376,-0.093745963650364
SVK,Slovak Republic,Europe & Central Asia,High income,,0.4569124872327585,116,0.05716869851795677,1109,2.987753695113075,0.01913434116455612
STP,S�o Tom� and Pr�ncipe,Sub-Saharan Africa,Lower middle income,IDA,-0.7969120517866727,94,0.18990480584033695,1196,1.733929156093644,0.10952281710757553
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Blend,-0.10202389192860668,65,-0.07445355740273212,1429,2.42881731595171,-0.030654243492808004
HUN,Hungary,Europe & Central Asia,High income,,0.5715062200273406,102,0.004290312295655461,1508,3.1023474279076577,0.0013829245096991
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,IBRD,-0.05644113676947084,39,-0.08869374283673065,1083,2.4744000711108463,-0.03584454424821968
NZL,New Zealand,East Asia & Pacific,High income,,0.5358091161956512,95,0.22779223389894726,1344,3.066650324075968,0.07428047211988044
THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,0.3094122516989184,98,0.03663377775090033,2023,2.8402534595792353,0.012898066412821967
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,-0.8304873164448545,91,-0.8455992947325917,748,1.7003538914354623,-0.4973078245604067
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,-0.3690867611031114,23,0.36542872129215437,1197,2.1617544467772056,0.16904265969566715
NOR,Norway,Europe & Central Asia,High income,,0.7422459706084679,105,0.039096905864456695,1612,3.273087178488785,0.011944963189922764
VEN,"Venezuela, RB",Latin America & Caribbean,,IBRD,0.12774032382701597,84,0.3506407049511409,354,2.658581531707333,0.13189014546639105
TUV,Tuvalu,East Asia & Pacific,Upper middle income,IDA,-0.5727316848395388,52,-0.549292656742469,808,1.9581095230407781,-0.2805219270316729
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend,-0.43385381722146954,109,0.2769764967561718,1216,2.0969873906588474,0.1320830530455165
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,IDA,-0.5852536499632999,92,0.11314191824556055,1100,1.945587557917017,0.05815308480215223
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.46756893077800704,90,0.09372039393402487,792,2.9984101386583237,0.03125669591550982
BWA,Botswana,Sub-Saharan Africa,Upper middle income,IBRD,0.18994242095664482,82,0.010945359786563823,668,2.7207836288369616,0.0040228703490260915
FIN,Finland,Europe & Central Asia,High income,,0.382943402460255,112,0.41191592198907284,1008,2.9137846103405716,0.1413680065874625
BFA,Burkina Faso,Sub-Saharan Africa,Low income,IDA,0.07897947417178229,113,0.12485254780898242,1337,2.6098206820520993,0.0478395119893107
CUW,Cura�ao,Latin America & Caribbean,High income,,0.015923519587462274,94,-0.4557293013037978,157,2.546764727467779,-0.17894440597067818
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,IBRD,0.11279863547841418,111,0.11029719174359126,1507,2.643639843358731,0.04172171637550266
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,-0.21125576315659064,101,0.033058543850115855,1660,2.3195854447237263,0.01425191899065968
TGO,Togo,Sub-Saharan Africa,Low income,IDA,-0.1724411592720118,116,0.03896731901195612,1415,2.358400048608305,0.01652277739518823
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,,-0.1445543798215543,72,0.06671599944452888,737,2.3862868280587626,0.027958080587823616
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,-0.18354875104193957,101,0.15197507750980488,775,2.3472924568383773,0.06474484126042974
SSD,South Sudan,Sub-Saharan Africa,Low income,IDA,-0.5018593947984181,81,0.17754131175313967,850,2.0289818130818986,0.08750266296545327
SUR,Suriname,Latin America & Caribbean,Upper middle income,Blend,0.055310042422354086,2,0.22293837242140618,1204,2.586151250302671,0.08620469216381467
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,0.24951073496234646,89,-0.12811098617183447,1374,2.780351942842663,-0.04607725525598474
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.354292439538124,107,0.11125205122853989,528,2.885133647418441,0.038560449817666494
MWI,Malawi,Sub-Saharan Africa,Low income,IDA,-0.36387743926232835,99,0.046741252237618346,1248,2.166963768617989,0.021569927893823636
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,-0.3458854924951344,46,0.1015613657419792,1190,2.1849557153851826,0.04648211633162327
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,IDA,-0.7764656451856902,52,0.021501924502435498,1111,1.7543755626946267,0.012256169636454407
AND,Andorra,Europe & Central Asia,High income,,-0.35166252093357586,87,-0.4470028476897797,214,2.179178686946741,-0.2051244582958352
PER,Peru,Latin America & Caribbean,Upper middle income,IBRD,0.11581042070233191,115,-0.18734233454361607,1172,2.6466516285826485,-0.07078465957529242
CAF,Central African Republic,Sub-Saharan Africa,Low income,IDA,-0.5814652079613402,104,0.02541277381671212,1027,1.9493759999189768,0.013036363337687736
NLD,Netherlands,Europe & Central Asia,High income,,0.5405162959471879,100,0.22200692708220798,1113,3.071357503827505,0.07228299760140083
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,0.01600366450855971,57,0.27322745439289625,1209,2.546844872388877,0.10728076034588464
LUX,Luxembourg,Europe & Central Asia,High income,,0.25391867333128654,114,-0.004924943513065171,821,2.7847598812116034,-0.0017685343523845974
CYM,Cayman Islands,Latin America & Caribbean,High income,,-0.591765378599393,66,-0.3446070789856454,215,1.9390758292809238,-0.1777171752553058
TUR,T�rkiye,Europe & Central Asia,Upper middle income,IBRD,0.4518746117859611,100,0.008088545193098236,2107,2.9827158196662777,0.002711805509518244
RWA,Rwanda,Sub-Saharan Africa,Low income,IDA,-0.029780473445749897,108,0.13391402672116293,1214,2.5010607344345672,0.05354289277242915
SLE,Sierra Leone,Sub-Saharan Africa,Low income,IDA,-0.19239530201132013,101,0.07132655425655204,1188,2.338445905868997,0.03050169092111035
BDI,Burundi,Sub-Saharan Africa,Low income,IDA,-0.25570128555702903,88,-0.004468576481409578,1349,2.2751399223232878,-0.0019640886424455314
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,Blend,-0.3852980066802988,109,-0.02271246962063133,241,2.145543201200018,-0.01058588314974412
AUT,Austria,Europe & Central Asia,High income,,0.5845064683343426,114,0.1713419328725551,1042,3.1153476762146592,0.054999297247216465
USA,United States,North America,High income,,0.9374529456193981,112,0.10392876975359239,1373,3.468294153499715,0.02996538504345777
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,0.13894756261400557,102,-0.0749615277097906,1687,2.669788770494322,-0.028077699830878818
MDG,Madagascar,Sub-Saharan Africa,Low income,IDA,-0.27676430222290127,103,0.1427735090048395,1294,2.2540769056574157,0.06334012324357616
SDN,Sudan,Sub-Saharan Africa,Low income,IDA,-0.31761881895308325,6,0.2670072054785714,1208,2.2132223889272336,0.1206418328381324
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,-0.13128770575267795,65,-0.042724645266386245,1854,2.399553502127639,-0.01780524802989519
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.0614989723095238,111,0.2848950326727078,651,2.592340180189841,0.10989878367423389
PAN,Panama,Latin America & Caribbean,High income,IBRD,-0.09128735167406826,85,-0.0785593555695582,966,2.4395538562062486,-0.03220234526477144
VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,0.5008110891308023,94,0.3470705994400207,1464,3.031652297011119,0.11448232364318123
CIV,C�te d�Ivoire,Sub-Saharan Africa,Lower middle income,Blend,0.08281108193259686,116,0.15728074525346497,1359,2.6136522898129138,0.06017661410681495
LBR,Liberia,Sub-Saharan Africa,Low income,IDA,-0.6467827845870022,61,0.10807496432772899,1142,1.8840584232933146,0.057362851911362214
KOR,"Korea, Rep.",East Asia & Pacific,High income,,0.5374219397447926,105,0.4078639429473351,1111,3.0682631476251094,0.13292990963406418
LIE,Liechtenstein,Europe & Central Asia,High income,,-0.3615198310870922,79,0.046260558795005645,537,2.1693213767932247,0.02132489878626919
BTN,Bhutan,South Asia,Lower middle income,IDA,-0.3066773518016324,86,-0.006779352710795162,1195,2.2241638560786843,-0.0030480455350747004
