economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
MDA,Moldova,Europe & Central Asia,Upper middle income,IBRD,0.24546982170269893,110,-0.19912308182707184,1700,4.290563185924015,-0.046409544201640444
TON,Tonga,East Asia & Pacific,Upper middle income,IDA,-0.8315468385467375,43,0.09021518983859395,1174,3.2135465256745785,0.02807340398460739
SSD,South Sudan,Sub-Saharan Africa,Low income,IDA,-0.5260950715476763,82,-0.3130220989336959,1161,3.51899829267364,-0.08895204626424248
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,IBRD,-0.5619204015406285,89,-0.21011206239975125,215,3.4831729626806878,-0.06032202955492819
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,-0.178333967394209,103,0.13084584070434113,791,3.8667593968271072,0.033838630045538255
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,IBRD,-0.5879778258440933,85,-0.17831808799492951,221,3.4571155383772227,-0.05158001982156269
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,-0.13128770575267792,65,-0.04846475867513744,1860,3.9138056584686383,-0.012383026369812224
SEN,Senegal,Sub-Saharan Africa,Lower middle income,IDA,-0.10290653973245474,110,0.00944440456286984,1549,3.9421868244888616,0.002395727291309789
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,Blend,-0.12022918746036582,98,-0.2004705812011181,1301,3.9248641767609502,-0.05107707481652506
BGD,Bangladesh,South Asia,Lower middle income,IDA,-0.2509022315537565,105,0.43539105745644224,1238,3.7941911326675597,0.1147520096464762
RWA,Rwanda,Sub-Saharan Africa,Low income,IDA,-0.07640935922524059,116,0.12788853540425163,1230,3.9686840049960757,0.03222441878548556
BWA,Botswana,Sub-Saharan Africa,Upper middle income,IBRD,0.16193507823991782,87,0.04668524593185671,684,4.207028442461234,0.011096964655780764
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,IBRD,0.11279863547841418,111,0.056442095966487214,1547,4.15789199969973,0.013574690244615127
CYP,Cyprus,Europe & Central Asia,High income,,0.1461470533429457,116,-0.05538893730675034,679,4.191240417564262,-0.013215404459890088
AUS,Australia,East Asia & Pacific,High income,,0.6721412013049164,116,0.28738653047486984,1426,4.717234565526232,0.060922671213999795
CUW,Cura�ao,Latin America & Caribbean,High income,,0.03908767967336356,95,-0.4438478844980806,164,4.08418104389468,-0.10867487991541794
STP,S�o Tom� and Pr�ncipe,Sub-Saharan Africa,Lower middle income,IDA,-0.7969120517866725,94,0.17009485438416475,1215,3.2481813124346437,0.05236618218724735
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.015311375409636572,81,-0.16905764809948826,1881,4.0297819888116795,-0.04195205809367884
URY,Uruguay,Latin America & Caribbean,High income,IBRD,0.14489915515522855,105,-0.21893244424134814,1816,4.189992519376545,-0.05225127329676581
ROU,Romania,Europe & Central Asia,High income,IBRD,0.32286720556791887,116,-0.1796649546322838,1207,4.3679605697892345,-0.04113245798850082
JPN,Japan,East Asia & Pacific,High income,,0.7138257421220146,81,0.24217628959925325,1284,4.758919106343331,0.05088892754584711
SVK,Slovak Republic,Europe & Central Asia,High income,,0.45691248723275846,116,0.05732205491218888,1118,4.502005851454075,0.01273255895339958
FRA,France,Europe & Central Asia,High income,,0.8625986917759594,110,0.15217995619336397,1088,4.907692055997275,0.031008456614020376
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.23494730744165257,116,-0.007483774555538007,850,4.280040671662968,-0.0017485288411126848
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,0.3139615726563633,116,-0.22443302717326488,1199,4.35905493687768,-0.051486625065116205
MOZ,Mozambique,Sub-Saharan Africa,Low income,IDA,-0.1915698340999868,110,-0.0613951521168678,1288,3.8535235301213295,-0.01593221155572774
FIN,Finland,Europe & Central Asia,High income,,0.38294340246025504,112,0.8374941804171737,1200,4.428036766681571,0.18913442334508954
TJK,Tajikistan,Europe & Central Asia,Lower middle income,IDA,-0.03442281039970183,46,-0.028574260185645076,1221,4.0106705538216145,-0.007124559298049987
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,IBRD,0.5862244167109406,114,0.2642981506005625,1781,4.631317780932257,0.05706759136432241
MAC,"Macao SAR, China",East Asia & Pacific,High income,,-0.2440637722747679,93,0.8733065943883214,746,3.8010295919465484,0.22975527373915855
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,IDA,-0.2580978489755376,12,-0.38071858409079273,170,3.7869955152457786,-0.10053314891926506
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,IDA,0.10631313964661677,61,-0.2760195479108844,1414,4.151406503867933,-0.0664882004818638
POL,Poland,Europe & Central Asia,High income,IBRD,0.707110124004862,100,0.23851942715055624,1119,4.752203488226178,0.050191332871477416
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,IBRD,-0.8499889816117259,43,-0.17976783933468807,1127,3.1951043826095904,-0.056263526260091484
MDV,Maldives,South Asia,Upper middle income,IDA,-0.21801411892981917,110,-0.3179273796143974,1221,3.8270792452914972,-0.08307311117363127
MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA,-0.08778783558141556,110,0.12299743573093008,1184,3.9573055286399006,0.03108110678863946
BFA,Burkina Faso,Sub-Saharan Africa,Low income,IDA,0.07739034879180172,116,0.04717948833333793,1448,4.122483713013118,0.011444432923873095
VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA,-1.2480178853343393,116,-0.32819637077424035,1219,2.7970754788869767,-0.11733554323133158
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,IDA,-0.8616004436835921,55,-0.04737372287397801,1221,3.183492920537724,-0.01488105174299433
SUR,Suriname,Latin America & Caribbean,Upper middle income,Blend,0.055310042422354086,2,0.22512229640555376,1218,4.10040340664367,0.05490247521519464
LKA,Sri Lanka,South Asia,Lower middle income,IDA,-0.38233833833362485,110,0.24038606844312638,1228,3.6627550258876913,0.06562985150361436
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Blend,-0.14570187495855422,67,-0.08617022014397559,1448,3.899391489262762,-0.02209837621619966
