Country name,avg_all_roots_iqr_M,avg_all_roots_iqr_F,n_roots_used,diff_abs_F_M_iqr
Afghanistan,3.87113714913783,3.716611016201389,2,0.15452613293644113
Albania,1.8568379418216083,1.8887323103401654,23,0.03189436851855709
Algeria,1.839931653291032,1.8724823813027478,32,0.03255072801171588
Angola,3.7695161301736664,3.661122584784103,2,0.10839354538956325
Antigua and Barbuda,4.084033347758465,4.140395651724067,2,0.056362303965602045
Argentina,1.940481860319968,1.943817107737824,28,0.0033352474178558467
Armenia,1.7094450883151353,1.6931427913609356,31,0.016302296954199713
Australia,1.452092013292387,1.389454983347524,37,0.06263702994486287
Austria,1.3982059833085672,1.381359393752066,31,0.01684658955650109
Azerbaijan,1.824098926177403,1.8054638300922954,30,0.018635096085107605
Bahrain,1.7975297012608156,1.732033586849884,28,0.06549611441093162
Bangladesh,6.958911593057334,6.920282611985121,7,0.0386289810722138
Belarus,0.9377529853992885,0.9451484950924942,11,0.007395509693205682
Belgium,1.341326018821939,1.310897128011446,37,0.030428890810492826
Belize,4.620486985649898,4.580272316932246,9,0.04021466871765256
Benin,2.239095628688321,2.287651186558777,23,0.0485555578704564
Bhutan,3.962055413634248,3.955046032365667,2,0.007009381268581194
Bosnia and Herzegovina,0.5173738608320394,0.5229958896212288,23,0.005622028789189382
Botswana,1.2620284096288639,1.2185292648830988,36,0.043499144745765106
Brazil,2.386126202349709,2.345290285134927,24,0.04083591721478186
Brunei Darussalam,0.8688015707786906,0.889255486401538,11,0.020453915622847374
Bulgaria,1.417176884247296,1.395163852752382,37,0.02201303149491407
Burkina Faso,2.5333135959578983,2.5370850358322805,25,0.003771439874382221
Burundi,1.8936514722865185,1.8395645375109053,24,0.054086934775613216
Cambodia,1.2746399708913168,1.265556949610859,23,0.009083021280457793
Cameroon,2.2861433497597847,2.4522451849487954,25,0.16610183518901067
Canada,1.3148465378789964,1.3017830900817977,37,0.013063447797198702
Chad,2.7382216867204496,2.8169587985304387,20,0.0787371118099891
Chile,1.416000555236827,1.4105036880938029,40,0.00549686714302422
China,4.2179446259633,4.223082759045418,2,0.005138133082118301
Colombia,1.4817578440485781,1.4554260580463125,40,0.0263317860022656
Comoros,3.9132316013710358,3.8851379578519407,2,0.028093643519095046
"Congo, Dem. Rep.",2.584654375320367,2.5815392003022795,21,0.003115175018087335
"Congo, Rep.",2.388134519504105,2.3175160671247044,25,0.07061845237940068
Costa Rica,1.9338392396365711,1.918723319571488,25,0.015115920065083222
Croatia,0.7372975368192065,0.6703527879521364,23,0.06694474886707014
Cuba,5.965004280507482,5.817154547354632,6,0.14784973315284944
Cyprus,1.6402105244274385,1.5993350432057878,28,0.040875481221650745
Czechia,1.261521553524321,1.23265702393867,37,0.02886452958565089
C�te d�Ivoire,2.335735461819875,2.335062959716851,23,6.72502103023831E-4
Denmark,1.4523126791590142,1.4167263327031752,31,0.035586346455839024
Dominica,4.082210196103179,4.140682757925445,2,0.05847256182226612
Dominican Republic,2.3458381426419255,2.3302123042793204,24,0.015625838362605116
East Asia & Pacific,2.493037901286534,2.3039235107967855,5,0.18911439048974854
East Asia & Pacific (excluding high income),2.6250492189810664,2.428674044865322,5,0.19637517411574423
