Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Afghanistan,1,-0.19478937935851698,-0.030955948752969385,-0.008039871364617063,0.0,0.0,0.0
Albania,1,-0.2327665298945289,0.016449391661055763,0.004314790514009152,0.0,0.0,0.0
Algeria,1,-0.17766511646711428,0.1995957284752659,0.05160941992683904,0.0,1.0,1.0
American Samoa,1,-0.9599079742867787,-0.4322830465212878,-0.14011574407541846,0.0,0.0,0.0
Andorra,1,-0.3797670669606358,-0.4388864121611396,-0.11974006584056265,0.0,0.0,0.0
Angola,1,-0.16112575890676012,-0.08937599633597067,-0.02301151951259188,0.0,0.0,0.0
Antigua and Barbuda,1,-0.5619204015406285,-0.21011206239975125,-0.06032202955492819,0.0,0.0,0.0
Argentina,1,0.34875623567214553,-0.29053928142073604,-0.06612408431726492,1.0,0.0,0.0
Armenia,1,-0.14097082049162407,-0.15032549160973305,-0.03850429640103558,0.0,0.0,0.0
Aruba,1,-0.2535353709689735,-0.2604638200216885,-0.06869572362739108,0.0,0.0,0.0
Australia,1,0.6721412013049164,0.28738653047486984,0.060922671213999795,1.0,1.0,1.0
Austria,1,0.5845064683343427,0.16797524151515686,0.036282885690020895,1.0,1.0,1.0
Azerbaijan,1,0.046949233784085824,-0.041943247840811666,-0.01024995386442365,0.0,0.0,0.0
"Bahamas, The",1,-0.7296629363770456,-0.22530024846810612,-0.06795505240464322,0.0,0.0,0.0
Bahrain,1,-0.2322630160012479,0.07213948607985661,0.018920193004006398,0.0,0.0,0.0
Bangladesh,1,-0.2509022315537565,0.43539105745644224,0.1147520096464762,0.0,1.0,1.0
Barbados,1,-0.1851921213265796,-0.7975335900701958,-0.20662020603202913,0.0,0.0,0.0
Belarus,1,0.6723079132151534,-0.34907465992548253,-0.07399723690988966,1.0,0.0,0.0
Belgium,1,0.6383549479813744,0.3460509952192502,0.07388807821741447,1.0,1.0,1.0
Belize,1,-0.5432607996965221,0.11847376380200357,0.03383193274350074,0.0,1.0,1.0
Benin,1,-0.14729581470445474,0.10915393494781747,0.028004003173881437,0.0,0.0,0.0
Bermuda,1,-0.67529557483099,-0.673521651846318,-0.1998700497599215,0.0,0.0,0.0
Bhutan,1,-0.45330079996833306,-0.038615293290012495,-0.010750980909735152,0.0,0.0,0.0
Bolivia,1,0.25843667459177283,0.11235642548795724,0.026107968220188158,1.0,0.0,0.0
Bosnia and Herzegovina,1,0.24951073496234646,-0.21030090971638388,-0.04896863712218754,1.0,0.0,0.0
