Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Afghanistan,1,-0.13471982127565585,0.32495891048768194,0.13561871794323135,0.0,1.0,1.0
Albania,1,-0.21125576315659064,0.033058543850115855,0.01425191899065968,0.0,0.0,0.0
Algeria,1,0.03802960953756475,0.21736513436462912,0.0846150506638225,0.0,1.0,1.0
American Samoa,1,-0.8577245477624326,-0.4112603555318759,-0.24580494913181927,0.0,0.0,0.0
Andorra,1,-0.35166252093357586,-0.4470028476897797,-0.2051244582958352,0.0,0.0,0.0
Angola,1,-0.13292209833953672,-0.037145836930576236,-0.01549086321668705,0.0,0.0,0.0
Antigua and Barbuda,1,-0.548580977728387,-0.19116626694030123,-0.09643853215258691,0.0,0.0,0.0
Argentina,1,0.3487562356721456,-0.2793894319067176,-0.09702378106088476,1.0,0.0,0.0
Armenia,1,-0.1266342079527848,-0.0924880104513257,-0.03846923765470838,0.0,0.0,0.0
Aruba,1,-0.25353537096897355,-0.2008043439063112,-0.08817627419717039,0.0,0.0,0.0
Australia,1,0.7224025019609646,0.2764394975289372,0.0849734978946364,1.0,1.0,1.0
Austria,1,0.5845064683343426,0.1713419328725551,0.054999297247216465,1.0,1.0,0.0
Azerbaijan,1,0.0690025739755786,-0.006372090124435489,-0.0024509511567217244,0.0,0.0,0.0
"Bahamas, The",1,-0.7296629363770456,-0.2126382611787671,-0.11805508901753423,0.0,0.0,0.0
Bahrain,1,-0.1445543798215543,0.06671599944452888,0.027958080587823616,0.0,0.0,0.0
Bangladesh,1,0.030440751592126992,0.43643970576474955,0.17039893017270327,0.0,1.0,1.0
Barbados,1,-0.15127694518772739,-0.33910171605324685,-0.14250580300341928,0.0,0.0,0.0
Belarus,1,0.6723079132151534,-0.14280210265746807,-0.04458178413143315,1.0,0.0,0.0
Belgium,1,0.6383549479813744,0.29889716970462515,0.09431324380215156,1.0,1.0,1.0
Belize,1,-0.47679140930818625,0.19544348611760184,0.09515031536891855,0.0,1.0,1.0
Benin,1,-0.14729581470445474,0.1522479582391919,0.06387457888365827,0.0,1.0,1.0
Bermuda,1,-0.643661506993395,-0.581275186128139,-0.3080126316825874,0.0,0.0,0.0
Bhutan,1,-0.3066773518016324,-0.006779352710795162,-0.0030480455350747004,0.0,0.0,0.0
Bolivia,1,0.22771961250937872,0.16654352929968383,0.06037333963010342,1.0,1.0,1.0
Bosnia and Herzegovina,1,0.24951073496234646,-0.12811098617183447,-0.04607725525598474,1.0,0.0,0.0
Botswana,1,0.18994242095664482,0.010945359786563823,0.0040228703490260915,0.0,0.0,0.0
Brazil,1,0.5070311895171672,-0.21333820933845368,-0.07022619169956529,1.0,0.0,0.0
British Virgin Islands,1,-0.7428401899628596,-0.26118471227972984,-0.14607637784453845,0.0,0.0,0.0
