Indicator name
"School age population, secondary education, female (number)"
"School age population, last grade of primary education, female (number)"
"Repeaters in Grade 5 of lower secondary general education, female (number)"
"Repeaters in grade unknown of lower secondary general education, both sexes (number)"
"School age population, upper secondary education, both sexes (number)"
"School life expectancy, primary, female (years)"
"School age population, primary education, both sexes (number)"
"School age population, lower secondary education, both sexes (number)"
"School age population, tertiary education, male (number)"
"Population of compulsory school age, both sexes (number)"
